session_id,base_cart_item_names,base_cart_item_categories,base_cart_item_count,base_cart_value,cart_has_drink,cart_has_dessert,cart_has_side,cart_completion_score
25,Kerala Prawn Curry | Idli Sambar | Watermelon Juice | Chocolate Mousse,main | main | drink | dessert,4,438.32,1,1,0,0.65
26,Szechuan Chicken | Spring Roll | Hakka Noodles,main | main | main,3,939.44,0,0,0,0.65
27,Spaghetti Bolognese | Fettuccine Alfredo,main | main,2,638.75,0,0,0,0.5
28,Chole Bhature | Sugarcane Juice,main | drink,2,233.69,1,0,0,0.65
29,Hakka Noodles | Hakka Noodles,main | main,2,385.95,0,0,0,0.5
30,Risotto,main,1,318.04,0,0,0,0.65
31,Manchurian Gravy | Szechuan Chicken | Buttermilk,main | main | drink,3,684.41,1,0,0,0.65
32,Lasagna | Spaghetti Bolognese | Spaghetti Bolognese | Stir Fried Veggies,main | main | main | side,4,570.2,0,0,1,1
33,Mixed Grill Plate | Falafel Wrap,main | main,2,333.36,0,0,0,0.5
34,Kung Pao Chicken,main,1,304.32,0,0,0,0.5
35,Andhra Chicken Fry | Pesarattu | Idli Sambar | Watermelon Juice,main | main | main | drink,4,551.87,1,0,0,0.65
36,Veg Fried Rice,main,1,209.96,0,0,0,0.5
37,BBQ Pork Ribs,main,1,265.68,0,0,0,0.5
38,Shahi Mutton | Corn Salad | Mango Kulfi,main | side | dessert,3,475.8,0,1,1,0.9
39,Bisi Bele Bath,main,1,225.7,0,0,0,0.5
40,Chicken Wrap | Chicken Wrap | Loaded Nachos,main | main | main,3,500.22,0,0,0,0.5
41,Chole Bhature | Veg Kadai,main | main,2,560.34,0,0,0,0.5
42,Shahi Mutton | Mango Kulfi,main | dessert,2,369.44,0,1,0,0.65
43,Butter Chicken | Shahi Mutton,main | main,2,343.22,0,0,0,0.5
44,Spaghetti Bolognese | Fettuccine Alfredo,main | main,2,574.52,0,0,0,0.5
45,Fettuccine Alfredo | Lemon Iced Tea,main | drink,2,364.63,1,0,0,0.65
46,Butter Chicken | Shahi Mutton | Rajma Masala | Watermelon Juice,main | main | main | drink,4,535.12,1,0,0,0.65
47,Veg Club Sandwich | Crispy Chicken Burger,main | main,2,737.93,0,0,0,0.5
48,Paneer Tikka Masala | Paneer Tikka Masala,main | main,2,449.09,0,0,0,0.5
49,Idli Sambar,main,1,356.21,0,0,0,0.5
50,Paneer Biryani,main,1,167.91,0,0,0,0.5
51,Lasagna,main,1,264.07,0,0,0,0.5
52,Spring Roll,main,1,347.69,0,0,0,0.6
53,Double Patty Burger | Pulled Pork Sandwich,main | main,2,499.48,0,0,0,0.5
54,Rasmalai | Sugarcane Juice | Jeera Aloo,main | drink | side,3,611.63,1,0,1,0.9
55,Tiramisu | Gulab Jamun Platter | Mango Sorbet,main | main | main,3,1181.57,0,0,0,0.5
56,Gulab Jamun Platter,main,1,152.87,0,0,0,0.5
57,Veg Kadai,main,1,235.36,0,0,0,0.5
58,Bisi Bele Bath | Kheer,main | dessert,2,251.23,0,1,0,0.65
59,Dal Makhani,main,1,153.22,0,0,0,0.5
60,Mango Sorbet,main,1,163.22,0,0,0,0.5
61,Chole Bhature | Veg Kadai | Butter Chicken,main | main | main,3,1122.33,0,0,0,0.5
62,Kerala Prawn Curry | Appam Stew,main | main,2,408.67,0,0,0,0.5
63,Szechuan Chicken,main,1,278.77,0,0,0,0.5
64,Kung Pao Chicken | Raita | Choco Lava Cup,main | side | dessert,3,536.81,0,1,1,0.9
65,Szechuan Chicken | Steamed Vegetables,main | side,2,205.41,0,0,1,0.75
66,Risotto,main,1,327.83,0,0,0,0.5
67,Lamb Chops | Beef Tenderloin,main | main,2,674.72,0,0,0,0.75
68,Veg Club Sandwich,main,1,172.39,0,0,0,0.5
69,Veg Fried Rice,main,1,236.18,0,0,0,0.75
70,Hyderabadi Dum Biryani | Paneer Biryani,main | main,2,445.21,0,0,0,0.5
71,Margherita Pizza | Risotto,main | main,2,570.62,0,0,0,0.5
72,Rajma Masala,main,1,299.49,0,0,0,0.5
73,Kerala Prawn Curry | Cold Coffee | Garden Salad,main | drink | side,3,315.17,1,0,1,0.9
74,Risotto,main,1,211.03,0,0,0,0.5
75,Rajma Masala,main,1,156.69,0,0,0,0.5
76,Hakka Noodles,main,1,151.78,0,0,0,0.5
77,Kolkata Biryani | Egg Biryani | Egg Biryani,main | main | main,3,1041.32,0,0,0,0.5
78,Crispy Chicken Burger,main,1,237.23,0,0,0,0.5
79,Veg Kadai | Onion Rings,main | side,2,236.8,0,0,1,0.75
80,Double Patty Burger,main,1,179.94,0,0,0,0.5
81,Hakka Noodles,main,1,306.89,0,0,0,0.5
82,Spring Roll,main,1,283.31,0,0,0,0.5
83,Bisi Bele Bath | Pesarattu,main | main,2,385.09,0,0,0,0.5
84,Chilly Paneer | Chicken in Black Bean,main | main,2,382.24,0,0,0,0.75
85,Appam Stew,main,1,135.13,0,0,0,0.5
86,Spaghetti Bolognese | Banana Milkshake,main | drink,2,377.82,1,0,0,0.65
87,Idli Sambar | Gajar Halwa,main | dessert,2,358.49,0,1,0,0.65
88,Hyderabadi Dum Biryani | Hyderabadi Dum Biryani | Buttermilk,main | main | drink,3,390.13,1,0,0,0.65
89,Gulab Jamun Platter | Rasmalai,main | main,2,347.5,0,0,0,0.5
90,BBQ Burger,main,1,159.38,0,0,0,0.5
91,Gulab Jamun Platter,main,1,225.84,0,0,0,0.5
92,Veg Biryani,main,1,148.81,0,0,0,0.5
93,Chicken Rogan Josh,main,1,206.39,0,0,0,0.5
94,Shahi Mutton | Dal Makhani,main | main,2,368.43,0,0,0,0.65
95,Hakka Noodles | Chilly Paneer,main | main,2,816,0,0,0,0.65
96,Lamb Kabab | Mutton Ouzi,main | main,2,341.99,0,0,0,0.5
97,Masala Dosa,main,1,291.4,0,0,0,0.75
98,Bisi Bele Bath,main,1,372.21,0,0,0,0.5
99,Masala Dosa,main,1,380.85,0,0,0,0.5
100,Chicken Rogan Josh | Rajma Masala | Butter Chicken,main | main | main,3,767.62,0,0,0,0.5
101,BBQ Burger | Zinger Burger,main | main,2,358.3,0,0,0,0.5
102,Penne Arrabbiata | Margherita Pizza,main | main,2,533.68,0,0,0,0.5
103,Bisi Bele Bath,main,1,233.96,0,0,0,0.5
104,Hyderabadi Dum Biryani,main,1,315.81,0,0,0,0.5
105,Chole Bhature,main,1,185.56,0,0,0,0.5
106,Beef Tenderloin | Grilled Chicken Steak,main | main,2,320.53,0,0,0,0.5
107,Veg Kadai | Chicken Rogan Josh | Fresh Lime Soda,main | main | drink,3,388.62,1,0,0,0.65
108,Grilled Salmon | Lamb Chops,main | main,2,308.15,0,0,0,0.5
109,Manchurian Gravy,main,1,276.24,0,0,0,0.5
110,Risotto,main,1,318.04,0,0,0,0.6
111,Chicken Biryani,main,1,198.57,0,0,0,0.5
112,Hummus Platter,main,1,174.26,0,0,0,0.5
113,Chocolate Lava Cake,main,1,421.38,0,0,0,0.6
114,Appam Stew | Mango Lassi,main | drink,2,203.05,1,0,0,0.9
115,Andhra Chicken Fry,main,1,309.96,0,0,0,0.5
116,Fettuccine Alfredo | Penne Arrabbiata | Pepperoni Pizza,main | main | main,3,1258.09,0,0,0,0.5
117,Butter Chicken,main,1,271.36,0,0,0,0.5
118,Veg Biryani,main,1,152.44,0,0,0,0.5
119,Kung Pao Chicken | Szechuan Chicken | Sugarcane Juice,main | main | drink,3,685.6,1,0,0,0.65
120,Chicken Biryani,main,1,301.23,0,0,0,0.5
121,Prawn Biryani | Hyderabadi Dum Biryani | Paneer Biryani,main | main | main,3,911.66,0,0,0,0.5
122,Chicken in Black Bean,main,1,293.35,0,0,0,0.5
123,Mutton Ouzi,main,1,283.4,0,0,0,0.5
124,Butter Chicken,main,1,157.63,0,0,0,0.5
125,BBQ Burger | Brownie with Ice Cream,main | dessert,2,212.11,0,1,0,0.75
126,Chilly Paneer | Kung Pao Chicken,main | main,2,468.92,0,0,0,0.5
127,Lasagna | Pepperoni Pizza | Gajar Halwa,main | main | dessert,3,817.56,0,1,0,0.65
128,Paneer Biryani | Mutton Biryani | Paneer Biryani,main | main | main,3,851.39,0,0,0,0.5
129,Dal Makhani,main,1,134.17,0,0,0,0.5
130,Lasagna | Margherita Pizza | Virgin Mojito,main | main | drink,3,709.67,1,0,0,0.65
131,Appam Stew,main,1,188.13,0,0,0,0.6
132,Gnocchi Pesto | Fresh Lime Soda,main | drink,2,298.6,1,0,0,0.65
133,Veg Kadai | Paneer Tikka Masala,main | main,2,519.36,0,0,0,0.5
134,Waffles with Ice Cream,main,1,276.02,0,0,0,0.5
135,Appam Stew | Buttermilk,main | drink,2,188.59,1,0,0,0.65
136,Veg Kadai | Panna Cotta,main | dessert,2,224.93,0,1,0,0.65
137,Risotto | Mango Lassi,main | drink,2,376.49,1,0,0,0.65
138,Masala Dosa,main,1,450.67,0,0,0,0.9
139,Masala Dosa | Idli Sambar,main | main,2,357,0,0,0,0.5
140,Appam Stew,main,1,291.81,0,0,0,0.65
141,Idli Sambar | Corn Salad,main | side,2,408.58,0,0,1,0.75
142,Bisi Bele Bath | Bisi Bele Bath | Bisi Bele Bath,main | main | main,3,510.2,0,0,0,0.5
143,Shahi Mutton | Veg Kadai,main | main,2,319.68,0,0,0,0.5
144,Rajma Masala | Rajma Masala | Chocolate Mousse,main | main | dessert,3,422.15,0,1,0,0.65
145,Appam Stew,main,1,210.28,0,0,0,0.5
146,Chicken Biryani | Chicken Biryani | Lemon Iced Tea,main | main | drink,3,692.79,1,0,0,0.65
147,Zinger Burger | Pulled Pork Sandwich,main | main,2,490.73,0,0,0,0.65
148,Penne Arrabbiata | Penne Arrabbiata | Margherita Pizza,main | main | main,3,582.03,0,0,0,0.5
149,Pesarattu,main,1,190.86,0,0,0,0.5
150,Masala Dosa | Andhra Chicken Fry | Kerala Prawn Curry,main | main | main,3,1040.31,0,0,0,0.5
151,Zinger Burger | BBQ Burger,main | main,2,353.99,0,0,0,0.5
152,Chilly Paneer | Chilly Paneer,main | main,2,314.72,0,0,0,0.5
153,Bisi Bele Bath | Masala Dosa,main | main,2,568.11,0,0,0,0.5
154,Chilly Paneer | Veg Fried Rice,main | main,2,623.27,0,0,0,0.5
155,Prawn Biryani | Chocolate Mousse,main | dessert,2,216.07,0,1,0,0.65
156,Spaghetti Bolognese,main,1,148.04,0,0,0,0.5
157,Beef Tenderloin,main,1,146.96,0,0,0,0.5
158,Chicken Mandi | Masala Chai,main | drink,2,252.9,1,0,0,0.65
159,Penne Arrabbiata | Fettuccine Alfredo,main | main,2,803.29,0,0,0,0.5
160,Spaghetti Bolognese | Gnocchi Pesto,main | main,2,571.01,0,0,0,0.75
161,Rava Dosa | Andhra Chicken Fry,main | main,2,308.6,0,0,0,0.5
162,Dal Makhani,main,1,260.07,0,0,0,0.5
163,Kung Pao Chicken | Phirni,main | dessert,2,474.6,0,1,0,0.9
164,Appam Stew,main,1,222.92,0,0,0,0.5
165,Gulab Jamun Platter | Gulab Jamun Platter,main | main,2,596.8,0,0,0,0.5
166,Shahi Mutton | Chole Bhature | Potato Wedges,main | main | side,3,432.25,0,0,1,0.75
167,Szechuan Chicken | Veg Fried Rice,main | main,2,349.63,0,0,0,0.5
168,Paneer Biryani | Fresh Lime Soda,main | drink,2,459.84,1,0,0,0.65
169,Chicken Wrap,main,1,424.49,0,0,0,0.5
170,Paneer Biryani,main,1,250.8,0,0,0,0.5
171,Chicken in Black Bean | Manchurian Gravy | Raita,main | main | side,3,692.91,0,0,1,0.75
172,Butter Chicken | Chole Bhature,main | main,2,384.2,0,0,0,0.5
173,Rajma Masala,main,1,301.92,0,0,0,0.5
174,Kung Pao Chicken,main,1,334.46,0,0,0,0.5
175,Penne Arrabbiata,main,1,167.04,0,0,0,0.5
176,Veg Kadai,main,1,175.55,0,0,0,0.5
177,Paneer Biryani | Kolkata Biryani | Corn Salad,main | main | side,3,657.96,0,0,1,0.75
178,Kulfi Falooda | Fresh Lime Soda,main | drink,2,213.52,1,0,0,0.65
179,Pulled Pork Sandwich | Watermelon Juice,main | drink,2,493.63,1,0,0,0.65
180,Veg Biryani | Chicken Biryani | Mutton Biryani,main | main | main,3,572.97,0,0,0,0.5
181,Veg Fried Rice,main,1,282.66,0,0,0,0.5
182,Kung Pao Chicken | Chilly Paneer,main | main,2,497.81,0,0,0,0.5
183,Manchurian Gravy | Veg Fried Rice,main | main,2,533.67,0,0,0,0.5
184,Veg Kadai | Sugarcane Juice,main | drink,2,347.48,1,0,0,0.65
185,Grilled Salmon,main,1,139.19,0,0,0,0.5
186,Cheesecake Slice | Steamed Vegetables,main | side,2,286.38,0,0,1,0.75
187,Egg Biryani,main,1,330.99,0,0,0,0.5
188,BBQ Burger,main,1,149.83,0,0,0,0.5
189,Dal Makhani | Watermelon Juice,main | drink,2,244.63,1,0,0,0.65
190,Mutton Biryani,main,1,213.23,0,0,0,0.65
191,Shahi Mutton | Virgin Mojito | Coleslaw,main | drink | side,3,453.73,1,0,1,0.9
192,Shahi Mutton,main,1,154.61,0,0,0,0.5
193,Chicken in Black Bean,main,1,269.22,0,0,0,0.5
194,Lamb Chops | Beef Tenderloin,main | main,2,546.5,0,0,0,0.9
195,Lasagna,main,1,189.14,0,0,0,0.5
196,Double Patty Burger | Chicken Wrap | Chicken Wrap,main | main | main,3,1186.07,0,0,0,0.5
197,Gulab Jamun Platter | Mango Sorbet,main | main,2,475.32,0,0,0,0.5
198,Dal Makhani | Butter Chicken | Paneer Tikka Masala,main | main | main,3,490.5,0,0,0,0.5
199,Paneer Tikka Masala | Virgin Mojito,main | drink,2,331.31,1,0,0,0.65
200,Szechuan Chicken,main,1,249.41,0,0,0,0.5
201,Dal Makhani,main,1,212.22,0,0,0,0.5
202,Masala Dosa | Bisi Bele Bath,main | main,2,563.99,0,0,0,0.5
203,BBQ Pork Ribs | Lamb Chops | Beef Tenderloin,main | main | main,3,535.7,0,0,0,0.5
204,Shahi Mutton | Jeera Aloo,main | side,2,517.48,0,0,1,0.75
205,Tiramisu | Cheesecake Slice | Tiramisu,main | main | main,3,492.26,0,0,0,0.5
206,Margherita Pizza | Fettuccine Alfredo | Steamed Vegetables,main | main | side,3,763.91,0,0,1,0.9
207,Margherita Pizza | Penne Arrabbiata,main | main,2,414.62,0,0,0,0.5
208,Veg Fried Rice | Chicken in Black Bean,main | main,2,536.81,0,0,0,0.5
209,Loaded Nachos,main,1,353.08,0,0,0,0.5
210,Risotto | Rasgulla,main | dessert,2,520.83,0,1,0,0.65
211,Mutton Biryani,main,1,276.57,0,0,0,0.5
212,Rajma Masala | Shahi Mutton,main | main,2,367.64,0,0,0,0.5
213,Veg Biryani,main,1,165.71,0,0,0,0.5
214,Mushroom Risotto,main,1,174.33,0,0,0,0.5
215,Paneer Biryani,main,1,263.04,0,0,0,0.5
216,Risotto,main,1,381.76,0,0,0,0.5
217,Chicken Rogan Josh | Chole Bhature,main | main,2,341.91,0,0,0,0.5
218,Veg Club Sandwich,main,1,207.18,0,0,0,0.5
219,Gulab Jamun Platter | Rasmalai,main | main,2,292.26,0,0,0,0.75
220,Crispy Chicken Burger | Pulled Pork Sandwich | Kheer,main | main | dessert,3,640.41,0,1,0,0.65
221,Appam Stew | Masala Dosa | Masala Dosa | Masala Papad,main | main | main | side,4,1254.64,0,0,1,0.75
222,Chicken in Black Bean,main,1,172.25,0,0,0,0.5
223,Paneer Biryani | Veg Biryani | Mutton Biryani,main | main | main,3,901.03,0,0,0,0.5
224,Dal Makhani,main,1,260.13,0,0,0,0.5
225,Beef Tenderloin | Grilled Salmon,main | main,2,368.99,0,0,0,0.5
226,Chicken Rogan Josh | Veg Kadai,main | main,2,340.47,0,0,0,0.5
227,Paneer Tikka Masala | Masala Chai,main | drink,2,344.9,1,0,0,0.65
228,Chicken Tikka Arabian | Kheer,main | dessert,2,161.25,0,1,0,0.65
229,Hakka Noodles,main,1,359.93,0,0,0,0.5
230,Veg Kadai,main,1,330.81,0,0,0,0.5
231,Risotto | Fettuccine Alfredo,main | main,2,548.02,0,0,0,0.85
232,Cheesecake Slice | Steamed Vegetables,main | side,2,234.1,0,0,1,0.75
233,Penne Arrabbiata | Fettuccine Alfredo,main | main,2,556.16,0,0,0,0.5
234,Masala Dosa,main,1,240.94,0,0,0,0.5
235,BBQ Pork Ribs | Beef Tenderloin,main | main,2,579.89,0,0,0,0.5
236,Spring Roll | Veg Fried Rice | Veg Fried Rice,main | main | main,3,525.26,0,0,0,0.5
237,Grilled Salmon,main,1,315.82,0,0,0,0.5
238,Chilly Paneer | Hakka Noodles,main | main,2,326.49,0,0,0,0.5
239,Chilly Paneer,main,1,260.82,0,0,0,0.5
240,Chicken Cordon Bleu | Chicken Cordon Bleu,main | main,2,369.06,0,0,0,0.5
241,Waffles with Ice Cream | Banana Milkshake,main | drink,2,338.71,1,0,0,0.65
242,Paneer Tikka Masala | Rajma Masala | Butter Chicken,main | main | main,3,737.02,0,0,0,0.5
243,Beef Tenderloin | Mango Lassi | Stir Fried Veggies,main | drink | side,3,304.75,1,0,1,0.9
244,Veg Fried Rice,main,1,276.28,0,0,0,0.5
245,Chicken Wrap | Loaded Nachos | Zinger Burger,main | main | main,3,551.27,0,0,0,1
246,Idli Sambar,main,1,183.16,0,0,0,0.5
247,Risotto,main,1,221.27,0,0,0,0.5
248,Chocolate Lava Cake,main,1,208.21,0,0,0,0.5
249,Chocolate Lava Cake | Lemon Iced Tea,main | drink,2,382.16,1,0,0,0.65
250,Hakka Noodles | Hakka Noodles | Szechuan Chicken,main | main | main,3,493.14,0,0,0,0.65
251,Veg Fried Rice,main,1,190.64,0,0,0,0.5
252,Grilled Salmon | Chicken Cordon Bleu | Beef Tenderloin,main | main | main,3,936.65,0,0,0,0.85
253,Dal Makhani | Onion Rings,main | side,2,564.35,0,0,1,0.9
254,Chicken Rogan Josh | Butter Chicken | Dal Makhani,main | main | main,3,782.92,0,0,0,0.5
255,Idli Sambar,main,1,315.24,0,0,0,0.5
256,Loaded Nachos,main,1,276.04,0,0,0,0.5
257,Zinger Burger | Mango Lassi,main | drink,2,254.5,1,0,0,0.65
258,Masala Dosa,main,1,278.84,0,0,0,0.5
259,Chole Bhature | Sugarcane Juice,main | drink,2,284.76,1,0,0,0.65
260,Tiramisu,main,1,274.89,0,0,0,0.5
261,Risotto | Masala Papad,main | side,2,421.77,0,0,1,0.75
262,Crispy Chicken Burger | Zinger Burger | Pulled Pork Sandwich,main | main | main,3,774.95,0,0,0,0.5
263,Penne Arrabbiata,main,1,256.02,0,0,0,0.5
264,Lamb Chops | Grilled Chicken Steak | Beef Tenderloin,main | main | main,3,1122.9,0,0,0,0.5
265,Chole Bhature | Paneer Tikka Masala | Buttermilk,main | main | drink,3,646.89,1,0,0,0.65
266,Zinger Burger | Pulled Pork Sandwich | Fresh Lime Soda,main | main | drink,3,592.11,1,0,0,0.65
267,Appam Stew | Idli Sambar,main | main,2,469.84,0,0,0,0.5
268,Andhra Chicken Fry | Masala Dosa | Bisi Bele Bath,main | main | main,3,857.5,0,0,0,0.5
269,Chicken Mandi,main,1,146.92,0,0,0,0.5
270,Butter Chicken | Chicken Rogan Josh | Butter Chicken,main | main | main,3,821.37,0,0,0,0.5
271,Spring Roll,main,1,227.82,0,0,0,0.65
272,Paneer Biryani | Prawn Biryani,main | main,2,566.95,0,0,0,0.5
273,Lamb Chops | Fresh Lime Soda,main | drink,2,224.06,1,0,0,0.65
274,Mutton Biryani | Paneer Biryani,main | main,2,639.64,0,0,0,0.5
275,Kerala Prawn Curry,main,1,360.27,0,0,0,0.5
276,Pulled Pork Sandwich,main,1,160.81,0,0,0,0.5
277,Shahi Mutton,main,1,248.27,0,0,0,0.5
278,Paneer Tikka Masala,main,1,237.89,0,0,0,0.5
279,Chole Bhature,main,1,376.37,0,0,0,0.5
280,Chilly Paneer,main,1,236.87,0,0,0,0.5
281,Kerala Prawn Curry,main,1,314.18,0,0,0,0.5
282,Butter Chicken,main,1,122.88,0,0,0,0.5
283,Grilled Salmon,main,1,269.55,0,0,0,0.6
284,Veg Club Sandwich | BBQ Burger | Potato Wedges,main | main | side,3,454.14,0,0,1,0.75
285,Chilly Paneer | Szechuan Chicken,main | main,2,647.97,0,0,0,0.65
286,Andhra Chicken Fry | Kerala Prawn Curry | Andhra Chicken Fry,main | main | main,3,741.54,0,0,0,0.5
287,Paneer Tikka Masala | Masala Papad,main | side,2,485.8,0,0,1,0.75
288,Rajma Masala,main,1,350.66,0,0,0,0.5
289,Masala Dosa,main,1,361.18,0,0,0,0.5
290,Chicken Rogan Josh | Sugarcane Juice,main | drink,2,304.42,1,0,0,0.9
291,Waffles with Ice Cream | Chocolate Lava Cake,main | main,2,572.54,0,0,0,0.75
292,Dal Makhani,main,1,257.26,0,0,0,0.5
293,Double Patty Burger,main,1,228.4,0,0,0,0.6
294,Spring Roll,main,1,190.18,0,0,0,0.5
295,Cheesecake Slice,main,1,227.3,0,0,0,0.5
296,Double Patty Burger | Crispy Chicken Burger,main | main,2,466.55,0,0,0,0.5
297,Risotto | Margherita Pizza | Fettuccine Alfredo | Cold Coffee | Panna Cotta,main | main | main | drink | dessert,5,966.19,1,1,0,0.65
298,Rajma Masala | Chole Bhature,main | main,2,519.49,0,0,0,0.5
299,Butter Chicken,main,1,298.05,0,0,0,0.5
300,Hyderabadi Dum Biryani | Veg Biryani,main | main,2,374.93,0,0,0,0.75
301,Appam Stew,main,1,358.67,0,0,0,0.5
302,Kolkata Biryani,main,1,242.52,0,0,0,0.65
303,Shahi Mutton,main,1,196.1,0,0,0,0.5
304,Crispy Chicken Burger,main,1,261.06,0,0,0,0.6
305,Pulled Pork Sandwich | Double Patty Burger,main | main,2,402.21,0,0,0,0.85
306,Andhra Chicken Fry | Pesarattu | Watermelon Juice | Gajar Halwa,main | main | drink | dessert,4,487.31,1,1,0,0.65
307,Hummus Platter | Mutton Ouzi,main | main,2,332.85,0,0,0,0.65
308,Paneer Tikka Masala | Veg Kadai,main | main,2,362.22,0,0,0,0.65
309,Manchurian Gravy,main,1,142.74,0,0,0,0.5
310,Veg Biryani | Paneer Biryani,main | main,2,291.97,0,0,0,0.5
311,Spring Roll | Veg Fried Rice,main | main,2,371.46,0,0,0,0.5
312,Mixed Grill Plate | Lamb Kabab | Cold Coffee,main | main | drink,3,583.15,1,0,0,0.65
313,Rajma Masala | Choco Lava Cup,main | dessert,2,336.17,0,1,0,0.65
314,Chicken Rogan Josh | Dal Makhani,main | main,2,583.82,0,0,0,0.5
315,Butter Chicken | Paneer Tikka Masala,main | main,2,354.32,0,0,0,0.5
316,Risotto | Gnocchi Pesto | Pepperoni Pizza,main | main | main,3,600.1,0,0,0,0.5
317,Risotto,main,1,374,0,0,0,0.5
318,Hakka Noodles,main,1,190.76,0,0,0,0.5
319,Mushroom Risotto | Fish & Chips,main | main,2,510.23,0,0,0,0.5
320,Veg Kadai | Shahi Mutton,main | main,2,775.84,0,0,0,0.5
321,Penne Arrabbiata,main,1,258.24,0,0,0,0.5
322,Bisi Bele Bath | Masala Dosa | Cold Coffee,main | main | drink,3,402.72,1,0,0,0.65
323,Hakka Noodles | Veg Fried Rice,main | main,2,292.43,0,0,0,0.5
324,Chicken Biryani | Kolkata Biryani | Chocolate Mousse,main | main | dessert,3,713.19,0,1,0,0.65
325,Kung Pao Chicken | Veg Fried Rice,main | main,2,577.35,0,0,0,0.5
326,Lasagna,main,1,280.68,0,0,0,0.5
327,Lasagna,main,1,374.57,0,0,0,0.5
328,Kerala Prawn Curry | Virgin Mojito | Coleslaw,main | drink | side,3,337.33,1,0,1,0.9
329,Bisi Bele Bath,main,1,372.21,0,0,0,0.5
330,Chicken Rogan Josh | Dal Makhani | Dal Makhani,main | main | main,3,883.72,0,0,0,0.5
331,Rava Dosa | Andhra Chicken Fry,main | main,2,303.08,0,0,0,0.75
332,Kerala Prawn Curry | Kerala Prawn Curry | Appam Stew,main | main | main,3,607.86,0,0,0,0.5
333,Shahi Mutton | Chicken Rogan Josh,main | main,2,282.97,0,0,0,0.5
334,Penne Arrabbiata | Pepperoni Pizza,main | main,2,384.64,0,0,0,1
335,Lamb Kabab,main,1,227.41,0,0,0,0.5
336,Margherita Pizza,main,1,349.74,0,0,0,0.5
337,Appam Stew,main,1,167.09,0,0,0,0.5
338,Manchurian Gravy | Lemon Iced Tea | Rasgulla,main | drink | dessert,3,495.38,1,1,0,0.65
339,Fettuccine Alfredo,main,1,204.56,0,0,0,0.6
340,Rava Dosa | Rava Dosa,main | main,2,389.91,0,0,0,0.5
341,Gulab Jamun Platter | Gulab Jamun Platter | Buttermilk,main | main | drink,3,374.67,1,0,0,0.65
342,Kerala Prawn Curry,main,1,145.42,0,0,0,0.75
343,Butter Chicken | Chole Bhature,main | main,2,664.98,0,0,0,0.6
344,Kung Pao Chicken,main,1,149.33,0,0,0,0.5
345,Masala Dosa,main,1,145.42,0,0,0,0.5
346,Loaded Nachos | Crispy Chicken Burger,main | main,2,606.71,0,0,0,0.5
347,Rajma Masala | Virgin Mojito,main | drink,2,538.25,1,0,0,0.65
348,Chole Bhature | Kheer,main | dessert,2,232.9,0,1,0,0.65
349,Paneer Biryani | Egg Biryani | Fresh Lime Soda,main | main | drink,3,615.08,1,0,0,0.65
350,Kerala Prawn Curry | Kerala Prawn Curry,main | main,2,324.72,0,0,0,0.5
351,Lamb Chops | Fish & Chips | Banana Milkshake,main | main | drink,3,660.57,1,0,0,0.65
352,Pesarattu,main,1,236.23,0,0,0,0.5
353,Kulfi Falooda,main,1,279.9,0,0,0,0.5
354,Shahi Mutton,main,1,222.17,0,0,0,0.5
