session_id,user_id,restaurant_id,session_timestamp,hour,day_of_week,meal_time,is_weekend,weather_condition,traffic_density,is_festival_day,estimated_delivery_time,delivery_zone,session_engagement_score,num_past_orders_at_restaurant
41,2049,403,01/01/2025 03:25,8,2,breakfast,0,Sunny,Low,0,32,north,0.51,0
42,3899,100,01/01/2025 03:30,17,5,snack,1,Sunny,Medium,0,42,south,0.4517,0
43,582,383,01/01/2025 03:35,10,1,breakfast,0,Cloudy,High,0,64,west,0.5567,0
44,418,199,01/01/2025 03:40,8,2,breakfast,0,Cloudy,Medium,0,75,south,0.3933,0
45,2778,224,01/01/2025 03:45,11,3,lunch,0,Sunny,Low,0,49,south,0.5333,0
46,3115,293,01/01/2025 03:50,16,6,snack,1,Rainy,High,1,82,north,0.755,0
47,1306,494,01/01/2025 03:55,12,1,lunch,0,Cloudy,High,0,68,east,0.4983,0
48,3885,381,01/01/2025 04:00,23,4,dinner,0,Sunny,High,0,43,east,0.6617,0
49,3372,390,01/01/2025 04:05,15,0,lunch,0,Cloudy,Low,0,51,central,0.1167,0
50,1220,469,01/01/2025 04:10,13,1,lunch,0,Rainy,Medium,0,38,east,0.4667,0
51,2446,153,01/01/2025 04:15,12,4,lunch,0,Sunny,Medium,0,45,south,0.4433,0
52,1651,420,01/01/2025 04:20,17,0,snack,0,Sunny,Medium,0,42,south,0.4267,0
53,1159,276,01/01/2025 04:25,9,4,breakfast,0,Sunny,Medium,0,52,central,0.2833,0
54,539,320,01/01/2025 04:30,20,6,dinner,1,Cloudy,Medium,0,47,west,0.2267,0
55,1772,22,01/01/2025 04:35,16,1,snack,0,Cloudy,Medium,0,56,west,0.5183,0
56,1222,433,01/01/2025 04:40,12,6,lunch,1,Windy,Medium,0,48,south,0.1167,0
57,3771,230,01/01/2025 04:45,18,1,snack,0,Stormy,Jam,1,50,south,0.14,0
58,2827,126,01/01/2025 04:50,11,0,lunch,0,Stormy,Low,0,41,east,0.4867,0
59,2518,70,01/01/2025 04:55,7,3,breakfast,0,Fog,Jam,0,88,central,0.5083,0
60,3006,654,01/01/2025 05:00,22,0,dinner,0,Fog,Low,0,34,north,0.49,0
61,2024,133,01/01/2025 05:05,12,1,lunch,0,Rainy,High,0,49,west,0.63,0
62,1051,107,01/01/2025 05:10,12,3,lunch,0,Fog,High,0,52,central,0.4633,0
63,3424,106,01/01/2025 05:15,21,4,dinner,0,Sunny,Jam,0,80,south,0.5667,0
64,576,204,01/01/2025 05:20,19,4,dinner,0,Sandstorms,Medium,0,75,south,0.3267,0
65,3396,500,01/01/2025 05:25,15,2,lunch,0,Sunny,High,0,76,west,0.5917,0
66,594,399,01/01/2025 05:30,12,3,lunch,0,Stormy,Medium,0,34,east,0.3967,0
67,2799,262,01/01/2025 05:35,12,4,lunch,0,Cloudy,Low,0,44,central,0.2717,0
68,3066,332,01/01/2025 05:40,21,6,dinner,1,Sunny,Jam,1,73,north,0.3617,0
69,780,465,01/01/2025 05:45,23,5,dinner,1,Sunny,High,0,93,north,0.5317,0
70,444,588,01/01/2025 05:50,13,4,lunch,0,Sunny,Medium,0,59,west,0.4867,0
71,2963,455,01/01/2025 05:55,19,1,dinner,0,Fog,High,0,48,west,0.4983,0
72,2350,416,01/01/2025 06:00,14,2,lunch,0,Cloudy,Medium,0,54,west,0.485,0
73,3240,105,01/01/2025 06:05,8,1,breakfast,0,Stormy,Low,0,64,central,0.32,0
74,2065,531,01/01/2025 06:10,18,4,snack,0,Sunny,Medium,0,60,west,0.2567,0
75,2883,685,01/01/2025 06:15,20,5,dinner,1,Rainy,Medium,0,45,north,0.455,0
76,1930,146,01/01/2025 06:20,13,2,lunch,0,Sunny,Jam,0,68,north,0.5083,0
77,1582,525,01/01/2025 06:25,10,4,breakfast,0,Windy,Jam,0,86,east,0.5417,0
78,2638,565,01/01/2025 06:30,22,2,dinner,0,Sunny,Medium,1,31,central,0.2217,0
79,726,70,01/01/2025 06:35,7,3,breakfast,0,Cloudy,High,0,71,central,0.51,0
80,684,122,01/01/2025 06:40,17,2,snack,0,Fog,Low,0,28,central,0.4783,0
81,3631,510,01/01/2025 06:45,6,6,breakfast,1,Cloudy,High,0,63,central,0.2867,0
82,1,421,01/01/2025 06:50,23,6,dinner,1,Sunny,Medium,0,33,central,0.49,0
83,1148,672,01/01/2025 06:55,12,0,lunch,0,Sunny,Jam,1,76,north,0.4283,0
84,3836,526,01/01/2025 07:00,18,1,snack,0,Sunny,Jam,0,116,west,0.3933,0
85,3003,188,01/01/2025 07:05,14,2,lunch,0,Sunny,High,0,48,east,0.4083,0
86,3398,143,01/01/2025 07:10,7,2,breakfast,0,Cloudy,High,0,79,central,0.4517,0
87,3159,438,01/01/2025 07:15,21,3,dinner,0,Rainy,High,0,92,east,0.6567,0
88,997,149,01/01/2025 07:20,19,0,dinner,0,Sunny,High,0,62,north,0.6417,0
89,1508,433,01/01/2025 07:25,7,0,breakfast,0,Fog,Jam,0,74,west,0.475,0
90,291,235,01/01/2025 07:30,14,3,lunch,0,Cloudy,Low,0,47,east,0.4433,0
91,276,214,01/01/2025 07:35,20,6,dinner,1,Rainy,Jam,0,58,north,0.6133,0
92,2756,73,01/01/2025 07:40,13,3,lunch,0,Sunny,Medium,0,32,east,0.1633,0
93,3985,249,01/01/2025 07:45,14,4,lunch,0,Sunny,High,0,68,east,0.4317,0
94,1137,310,01/01/2025 07:50,17,3,snack,0,Cloudy,Medium,0,37,north,0.44,0
95,2297,407,01/01/2025 07:55,17,3,snack,0,Rainy,High,0,70,south,0.54,0
96,1416,257,01/01/2025 08:00,14,3,lunch,0,Cloudy,Medium,0,53,south,0.51,0
97,3372,366,01/01/2025 08:05,22,3,dinner,0,Fog,High,0,84,central,0.2167,0
98,2839,653,01/01/2025 08:10,8,1,breakfast,0,Sunny,Jam,0,62,south,0.5083,0
99,2373,521,01/01/2025 08:15,9,4,breakfast,0,Sunny,Medium,0,62,north,0.52,0
100,928,528,01/01/2025 08:20,2,0,late_night,0,Fog,Medium,0,53,west,0.5183,0
101,1015,235,01/01/2025 08:25,10,2,breakfast,0,Sunny,Low,0,47,south,0.51,0
102,999,345,01/01/2025 08:30,12,6,lunch,1,Cloudy,Medium,0,54,central,0.4983,0
103,1424,327,01/01/2025 08:35,13,2,lunch,0,Sunny,Medium,0,43,west,0.5133,0
104,3135,29,01/01/2025 08:40,13,1,lunch,0,Sunny,High,0,50,south,0.0467,0
105,1704,203,01/01/2025 08:45,20,5,dinner,1,Stormy,Low,0,37,south,0.4033,0
106,1926,679,01/01/2025 08:50,22,4,dinner,0,Windy,Low,0,40,west,0.5217,0
107,1790,266,01/01/2025 08:55,22,4,dinner,0,Windy,High,0,54,south,0.2267,0
108,3809,80,01/01/2025 09:00,18,6,snack,1,Fog,Low,0,57,west,0.1833,0
109,1077,37,01/01/2025 09:05,0,4,late_night,0,Stormy,High,0,63,central,0.4733,0
110,2673,461,01/01/2025 09:10,8,3,breakfast,0,Stormy,Low,0,64,east,0.455,0
111,3074,694,01/01/2025 09:15,22,1,dinner,0,Rainy,Medium,1,37,north,0.0933,0
112,3600,480,01/01/2025 09:20,15,0,lunch,0,Stormy,High,0,76,west,0.415,0
113,3347,48,01/01/2025 09:25,21,4,dinner,0,Cloudy,Medium,0,48,north,0.6017,0
114,2106,658,01/01/2025 09:30,19,5,dinner,1,Cloudy,High,0,70,central,0.6333,0
115,1969,501,01/01/2025 09:35,9,4,breakfast,0,Fog,High,0,71,central,0.3267,0
116,2568,441,01/01/2025 09:40,16,1,snack,0,Cloudy,High,0,51,south,0.5367,0
117,806,570,01/01/2025 09:45,9,6,breakfast,1,Cloudy,Low,0,32,east,0.4617,0
118,1109,344,01/01/2025 09:50,12,3,lunch,0,Sunny,Medium,0,41,east,0.5017,0
119,390,182,01/01/2025 09:55,22,4,dinner,0,Fog,Medium,0,75,central,0.6,0
120,3264,423,01/01/2025 10:00,18,3,snack,0,Windy,Medium,0,35,west,0.595,0
121,1636,369,01/01/2025 10:05,15,3,lunch,0,Sunny,High,0,51,south,0.6067,0
122,1019,278,01/01/2025 10:10,18,5,snack,1,Fog,Jam,0,82,south,0.5317,0
123,1273,274,01/01/2025 10:15,12,1,lunch,0,Sandstorms,High,0,40,west,0.4317,0
124,3599,95,01/01/2025 10:20,13,4,lunch,0,Cloudy,Medium,0,56,east,0.52,0
125,67,435,01/01/2025 10:25,15,1,lunch,0,Sunny,Medium,0,47,central,0.5333,0
126,1627,593,01/01/2025 10:30,18,2,snack,0,Sunny,High,0,42,central,0.51,0
127,2966,359,01/01/2025 10:35,20,2,dinner,0,Fog,High,0,71,south,0.6,0
128,2637,629,01/01/2025 10:40,20,4,dinner,0,Rainy,Low,0,41,east,0.5417,0
129,1534,79,01/01/2025 10:45,21,4,dinner,0,Sunny,Low,0,44,east,0.5667,0
130,1101,446,01/01/2025 10:50,15,3,lunch,0,Stormy,Medium,0,75,east,0.5717,0
131,2914,595,01/01/2025 10:55,19,5,dinner,1,Cloudy,Medium,0,32,central,0.4383,0
132,1224,186,01/01/2025 11:00,19,0,dinner,0,Cloudy,Medium,0,49,west,0.3933,0
133,3593,230,01/01/2025 11:05,15,1,lunch,0,Sunny,Medium,1,32,south,0.545,0
134,3976,280,01/01/2025 11:10,21,0,dinner,0,Cloudy,Jam,0,76,east,0.56,0
135,2176,213,01/01/2025 11:15,9,4,breakfast,0,Cloudy,Low,0,52,east,0.51,0
136,2623,81,01/01/2025 11:20,21,2,dinner,0,Stormy,Jam,0,116,south,0.365,0
137,489,580,01/01/2025 11:25,16,6,snack,1,Sunny,High,0,62,north,0.44,0
138,2218,282,01/01/2025 11:30,16,3,snack,0,Rainy,Jam,0,109,south,0.2633,0
139,2964,398,01/01/2025 11:35,23,0,dinner,0,Cloudy,Medium,0,52,west,0.545,0
140,1167,268,01/01/2025 11:40,13,4,lunch,0,Cloudy,High,0,58,west,0.4433,0
141,1108,287,01/01/2025 11:45,9,6,breakfast,1,Sunny,High,0,94,south,0.23,0
142,2729,486,01/01/2025 11:50,19,6,dinner,1,Fog,Medium,0,74,central,0.455,0
143,1699,70,01/01/2025 11:55,20,6,dinner,1,Rainy,High,0,71,east,0.5633,0
144,3601,639,01/01/2025 12:00,18,1,snack,0,Rainy,Medium,0,61,central,0.7467,0
145,666,658,01/01/2025 12:05,10,2,breakfast,0,Cloudy,Medium,0,56,south,0.105,0
146,1912,220,01/01/2025 12:10,21,6,dinner,1,Sunny,Medium,0,40,east,0.3967,0
147,3074,362,01/01/2025 12:15,21,4,dinner,0,Fog,Medium,0,33,north,0.26,0
148,2529,211,01/01/2025 12:20,18,0,snack,0,Rainy,Medium,0,71,south,0.595,0
149,2798,473,01/01/2025 12:25,8,6,breakfast,1,Fog,Low,0,39,south,0.3383,0
150,1418,112,01/01/2025 12:30,16,4,snack,0,Rainy,High,1,43,north,0.32,0
151,2150,193,01/01/2025 12:35,15,6,lunch,1,Sunny,Low,0,46,south,0.645,0
152,1989,690,01/01/2025 12:40,17,6,snack,1,Sunny,Low,0,38,south,0.475,0
153,2360,327,01/01/2025 12:45,11,0,lunch,0,Windy,Medium,0,43,north,0.3,0
154,820,275,01/01/2025 12:50,7,3,breakfast,0,Cloudy,Jam,0,75,south,0.5517,0
155,1652,207,01/01/2025 12:55,19,1,dinner,0,Rainy,Low,0,54,south,0.51,0
156,490,689,01/01/2025 13:00,14,6,lunch,1,Rainy,High,0,94,north,0.5367,0
157,1531,14,01/01/2025 13:05,7,1,breakfast,0,Cloudy,Low,0,32,east,0.3967,0
158,2478,539,01/01/2025 13:10,20,6,dinner,1,Sunny,Low,0,49,north,0.44,0
159,1641,698,01/01/2025 13:15,17,6,snack,1,Fog,Medium,0,31,west,0.4517,0
160,1463,461,01/01/2025 13:20,11,5,lunch,1,Sunny,Low,0,64,central,0.4283,0
161,3820,38,01/01/2025 13:25,17,4,snack,0,Sunny,Low,0,46,central,0.16,0
162,1463,223,01/01/2025 13:30,7,3,breakfast,0,Cloudy,Medium,0,75,central,0.4617,0
163,113,109,01/01/2025 13:35,14,5,lunch,1,Windy,High,0,70,south,0.58,0
164,2684,295,01/01/2025 13:40,9,2,breakfast,0,Fog,Medium,0,36,south,0.385,0
165,3967,380,01/01/2025 13:45,8,4,breakfast,0,Rainy,Low,0,46,south,0.405,0
166,627,552,01/01/2025 13:50,8,4,breakfast,0,Sunny,High,0,41,west,0.7933,0
167,1553,91,01/01/2025 13:55,14,5,lunch,1,Rainy,Low,0,28,north,0.5333,0
168,3944,474,01/01/2025 14:00,9,2,breakfast,0,Sunny,Medium,0,30,west,0.715,0
169,326,66,01/01/2025 14:05,11,6,lunch,1,Sunny,High,0,56,north,0.1633,0
170,967,546,01/01/2025 14:10,6,2,breakfast,0,Sunny,Medium,0,75,east,0.52,0
171,1450,477,01/01/2025 14:15,10,0,breakfast,0,Fog,Medium,0,75,north,0.4083,0
172,3413,457,01/01/2025 14:20,21,5,dinner,1,Sunny,High,0,40,south,0.475,0
173,2353,42,01/01/2025 14:25,21,5,dinner,1,Sunny,Low,1,45,south,0.5667,0
174,85,71,01/01/2025 14:30,8,2,breakfast,0,Cloudy,High,0,52,east,0.5017,0
175,2736,413,01/01/2025 14:35,12,0,lunch,0,Rainy,Medium,0,75,west,0.4383,0
176,245,319,01/01/2025 14:40,19,3,dinner,0,Sunny,High,1,54,south,0.1467,0
177,3543,39,01/01/2025 14:45,16,6,snack,1,Sunny,High,0,37,central,0.5833,0
178,3148,316,01/01/2025 14:50,6,0,breakfast,0,Stormy,High,0,35,south,0.37,0
179,748,494,01/01/2025 14:55,18,4,snack,0,Cloudy,Medium,0,54,central,0.1367,0
180,3265,265,01/01/2025 15:00,9,0,breakfast,0,Sunny,Medium,0,46,north,0.5067,0
181,766,300,01/01/2025 15:05,15,4,lunch,0,Rainy,Jam,0,110,east,0.42,0
182,3092,124,01/01/2025 15:10,9,2,breakfast,0,Sunny,Medium,0,75,north,0.125,0
183,2937,312,01/01/2025 15:15,11,0,lunch,0,Cloudy,Jam,0,94,east,0.51,0
184,3106,648,01/01/2025 15:20,20,4,dinner,0,Cloudy,Medium,0,33,east,0.545,0
185,2877,80,01/01/2025 15:25,19,6,dinner,1,Sandstorms,High,0,83,central,0.315,0
186,1155,406,01/01/2025 15:30,21,4,dinner,0,Sunny,Low,0,33,north,0.5283,0
187,671,558,01/01/2025 15:35,15,6,lunch,1,Rainy,Medium,0,63,west,0.4667,0
188,3114,162,01/01/2025 15:40,21,1,dinner,0,Sunny,High,0,73,north,0.3617,0
189,3858,529,01/01/2025 15:45,7,3,breakfast,0,Sunny,Jam,0,84,east,0.475,0
190,1631,120,01/01/2025 15:50,14,5,lunch,1,Cloudy,High,0,94,central,0.1633,0
191,1921,403,01/01/2025 15:55,15,2,lunch,0,Sunny,Jam,0,58,central,0.5367,0
192,551,394,01/01/2025 16:00,18,2,snack,0,Rainy,Medium,0,63,south,0.49,0
193,1618,204,01/01/2025 16:05,5,2,late_night,0,Fog,High,0,94,north,0.28,0
194,3345,504,01/01/2025 16:10,23,4,dinner,0,Rainy,Jam,1,95,south,0.4633,0
195,1240,333,01/01/2025 16:15,21,3,dinner,0,Windy,Jam,0,90,north,0.0933,0
196,1278,544,01/01/2025 16:20,18,5,snack,1,Rainy,Low,0,36,east,0.2267,0
197,3848,581,01/01/2025 16:25,19,3,dinner,0,Cloudy,Medium,0,58,east,0.4633,0
198,426,566,01/01/2025 16:30,11,4,lunch,0,Sunny,Medium,0,70,west,0.63,0
199,3320,1,01/01/2025 16:35,6,0,breakfast,0,Sunny,Low,0,44,south,0.4167,0
200,2267,277,01/01/2025 16:40,14,3,lunch,0,Fog,Low,0,33,west,0.4083,0
201,2873,294,01/01/2025 16:45,13,0,lunch,0,Rainy,High,0,86,east,0.5667,0
202,607,410,01/01/2025 16:50,12,2,lunch,0,Rainy,High,0,64,north,0.5333,0
203,3427,14,01/01/2025 16:55,22,4,dinner,0,Cloudy,Medium,0,38,east,0.3433,0
204,3008,273,01/01/2025 17:00,19,0,dinner,0,Sunny,Jam,0,56,east,0.575,0
205,2117,364,01/01/2025 17:05,20,5,dinner,1,Sunny,High,0,67,central,0.595,0
206,1577,508,01/01/2025 17:10,20,2,dinner,0,Sunny,Jam,0,61,east,0.3967,0
207,3198,200,01/01/2025 17:15,21,4,dinner,0,Stormy,High,0,61,west,0.7267,0
208,3659,312,01/01/2025 17:20,7,5,breakfast,1,Sunny,Low,0,52,north,0.4167,0
209,1458,63,01/01/2025 17:25,11,0,lunch,0,Sunny,Medium,0,53,central,0.2167,0
210,908,434,01/01/2025 17:30,11,6,lunch,1,Fog,Jam,0,58,north,0.4983,0
211,3582,659,01/01/2025 17:35,9,3,breakfast,0,Fog,Jam,0,97,central,0.4733,0
212,507,402,01/01/2025 17:40,2,4,late_night,0,Fog,Jam,0,116,north,0.23,0
213,756,666,01/01/2025 17:45,18,3,snack,0,Sandstorms,Low,0,31,north,0.4433,0
214,2003,619,01/01/2025 17:50,18,5,snack,1,Rainy,Medium,0,64,east,0.3267,0
215,2741,511,01/01/2025 17:55,13,2,lunch,0,Cloudy,Medium,0,42,east,0.2867,0
216,2318,264,01/01/2025 18:00,19,6,dinner,1,Sunny,Medium,0,63,north,0.4317,0
217,1008,338,01/01/2025 18:05,21,4,dinner,0,Stormy,High,0,74,east,0.475,0
218,2262,83,01/01/2025 18:10,13,5,lunch,1,Stormy,Medium,0,41,central,0.3733,0
219,1065,654,01/01/2025 18:15,10,3,breakfast,0,Rainy,Jam,1,63,central,0.295,0
220,1315,584,01/01/2025 18:20,18,1,snack,0,Cloudy,High,0,66,south,0.6,0
221,2408,653,01/01/2025 18:25,20,4,dinner,0,Cloudy,High,0,50,east,0.55,0
222,749,641,01/01/2025 18:30,21,0,dinner,0,Cloudy,Medium,0,35,central,0.1867,0
223,439,379,01/01/2025 18:35,16,4,snack,0,Sunny,Medium,0,75,west,0.46,0
224,713,273,01/01/2025 18:40,16,1,snack,0,Sunny,High,0,45,west,0.1167,0
225,573,696,01/01/2025 18:45,16,1,snack,0,Sunny,Medium,0,57,east,0.3067,0
226,700,294,01/01/2025 18:50,13,6,lunch,1,Rainy,High,0,86,south,0.5867,0
227,3495,522,01/01/2025 18:55,20,0,dinner,0,Cloudy,High,0,85,east,0.2417,0
228,2482,638,01/01/2025 19:00,21,5,dinner,1,Fog,Medium,0,62,north,0.5517,0
229,2920,418,01/01/2025 19:05,15,4,lunch,0,Fog,Jam,0,75,west,0.07,0
230,2927,222,01/01/2025 19:10,21,4,dinner,0,Cloudy,Low,0,41,north,0.49,0
231,2929,28,01/01/2025 19:15,21,2,dinner,0,Cloudy,High,0,78,central,0.4283,0
232,2369,189,01/01/2025 19:20,13,1,lunch,0,Cloudy,Low,0,40,north,0.475,0
233,1511,422,01/01/2025 19:25,20,0,dinner,0,Sunny,Medium,0,48,west,0.475,0
234,2754,472,01/01/2025 19:30,14,2,lunch,0,Sunny,Low,1,47,west,0.21,0
235,2587,247,01/01/2025 19:35,7,3,breakfast,0,Cloudy,Medium,0,50,south,0.4983,0
236,2770,583,01/01/2025 19:40,14,5,lunch,1,Rainy,Medium,0,62,north,0.4717,0
237,25,111,01/01/2025 19:45,14,6,lunch,1,Sunny,Low,1,36,north,0.59,0
238,1422,44,01/01/2025 19:50,6,5,breakfast,1,Rainy,High,0,54,north,0.4167,0
239,59,421,01/01/2025 19:55,16,5,snack,1,Sunny,High,0,41,west,0.52,0
240,2197,52,01/01/2025 20:00,9,0,breakfast,0,Fog,Medium,0,54,west,0.5567,0
241,1263,452,01/01/2025 20:05,9,2,breakfast,0,Cloudy,Low,0,35,north,0.2183,0
242,1374,456,01/01/2025 20:10,23,4,dinner,0,Stormy,Medium,0,50,north,0.1567,0
243,800,231,01/01/2025 20:15,14,3,lunch,0,Sunny,Medium,0,35,east,0.6767,0
244,887,254,01/01/2025 20:20,14,2,lunch,0,Cloudy,Low,0,51,north,0.42,0
245,2070,235,01/01/2025 20:25,17,0,snack,0,Sunny,Medium,0,55,south,0.25,0
246,1864,159,01/01/2025 20:30,12,3,lunch,0,Rainy,Low,0,39,north,0.42,0
247,1239,461,01/01/2025 20:35,16,1,snack,0,Cloudy,Low,0,64,west,0.3733,0
248,2273,642,01/01/2025 20:40,12,4,lunch,0,Rainy,Low,1,43,west,0.14,0
249,3481,573,01/01/2025 20:45,17,5,snack,1,Stormy,Low,0,58,central,0.6733,0
250,3231,465,01/01/2025 20:50,23,6,dinner,1,Sunny,High,0,93,east,0.6417,0
251,207,414,01/01/2025 20:55,21,2,dinner,0,Rainy,Medium,0,46,north,0.4667,0
252,32,626,01/01/2025 21:00,11,0,lunch,0,Sunny,High,0,38,central,0.7,0
253,1951,17,01/01/2025 21:05,17,4,snack,0,Sunny,Jam,1,40,central,0.5983,0
254,1906,562,01/01/2025 21:10,13,0,lunch,0,Fog,Jam,0,60,east,0.6,0
255,1426,287,01/01/2025 21:15,12,2,lunch,0,Cloudy,Medium,0,75,south,0.555,0
256,1545,391,01/01/2025 21:20,15,0,lunch,0,Sunny,Low,0,35,south,0.4667,0
257,946,470,01/01/2025 21:25,14,5,lunch,1,Rainy,Low,0,56,central,0.4983,0
258,1765,368,01/01/2025 21:30,16,3,snack,0,Stormy,High,0,91,north,0.4667,0
259,258,677,01/01/2025 21:35,11,1,lunch,0,Windy,Jam,0,116,east,0.475,0
260,2923,415,01/01/2025 21:40,14,5,lunch,1,Fog,Jam,0,61,east,0.4083,0
261,1728,636,01/01/2025 21:45,17,0,snack,0,Rainy,Low,0,36,east,0.47,0
262,3799,104,01/01/2025 21:50,21,2,dinner,0,Rainy,Jam,0,68,west,0.6117,0
263,69,341,01/01/2025 21:55,11,6,lunch,1,Sunny,Low,0,40,north,0.4317,0
264,2989,354,01/01/2025 22:00,14,5,lunch,1,Cloudy,Medium,0,48,east,0.7167,0
265,1733,269,01/01/2025 22:05,23,5,dinner,1,Cloudy,Low,0,54,south,0.565,0
266,1795,190,01/01/2025 22:10,21,6,dinner,1,Windy,Low,1,59,north,0.665,0
267,1039,31,01/01/2025 22:15,15,5,lunch,1,Cloudy,Low,0,29,west,0.58,0
268,2500,367,01/01/2025 22:20,14,1,lunch,0,Stormy,High,0,55,south,0.7117,0
269,128,480,01/01/2025 22:25,19,5,dinner,1,Windy,High,0,76,north,0.385,0
270,1910,384,01/01/2025 22:30,19,3,dinner,0,Sunny,Medium,0,45,south,0.5067,0
271,426,92,01/01/2025 22:35,10,0,breakfast,0,Sunny,Medium,0,43,west,0.3967,0
272,3702,519,01/01/2025 22:40,13,1,lunch,0,Rainy,Medium,0,59,central,0.5333,0
273,1804,80,01/01/2025 22:45,19,1,dinner,0,Windy,High,0,83,east,0.545,0
274,1093,474,01/01/2025 22:50,23,0,dinner,0,Cloudy,Medium,1,30,west,0.4517,0
275,524,673,01/01/2025 22:55,18,3,snack,0,Sunny,Medium,0,40,south,0.49,0
276,1250,74,01/01/2025 23:00,11,1,lunch,0,Rainy,Medium,0,48,west,0.4433,0
277,1178,520,01/01/2025 23:05,15,6,lunch,1,Windy,Medium,0,30,north,0.4667,0
278,351,381,01/01/2025 23:10,18,4,snack,0,Cloudy,Medium,0,35,central,0.625,0
279,1399,101,01/01/2025 23:15,11,5,lunch,1,Cloudy,Jam,0,108,east,0.4667,0
280,2440,641,01/01/2025 23:20,15,2,lunch,0,Sunny,Medium,0,35,west,0.1167,0
281,3700,31,01/01/2025 23:25,9,0,breakfast,0,Sunny,Jam,0,52,central,0.1633,0
282,1899,607,01/01/2025 23:30,19,1,dinner,0,Rainy,Jam,0,57,west,0.5433,0
