session_id,any_addon_added,actual_added_addon_names,actual_added_addon_categories,actual_added_addon_count,actual_added_addon_value,final_order_value
82,0,none,none,0,0,283.31
83,0,none,none,0,0,385.09
84,1,Ranch Dip | Kheer | Mint Chutney | Virgin Mojito,dip | dessert | dip | drink,4,175.18,557.42
85,0,none,none,0,0,135.13
86,0,none,none,0,0,377.82
87,0,none,none,0,0,358.49
88,0,none,none,0,0,390.13
89,0,none,none,0,0,347.5
90,0,none,none,0,0,159.38
91,0,none,none,0,0,225.84
92,0,none,none,0,0,148.81
93,0,none,none,0,0,206.39
94,1,Watermelon Juice,drink,1,50.54,418.97
95,1,Buttermilk,drink,1,76.3,892.3
96,0,none,none,0,0,341.99
97,1,Garlic Naan | Lemon Iced Tea,bread | drink,2,133.06,424.46
98,0,none,none,0,0,372.21
99,0,none,none,0,0,380.85
100,0,none,none,0,0,767.62
101,0,none,none,0,0,358.3
102,0,none,none,0,0,533.68
103,0,none,none,0,0,233.96
104,0,none,none,0,0,315.81
105,0,none,none,0,0,185.56
106,0,none,none,0,0,320.53
107,1,Buttermilk,drink,1,38.93,427.55
108,0,none,none,0,0,308.15
109,0,none,none,0,0,276.24
110,1,Butter Naan | Tamarind Chutney,bread | dip,2,77.17,395.21
111,0,none,none,0,0,198.57
112,0,none,none,0,0,174.26
113,1,Guacamole | Mint Chutney,dip | dip,2,131.96,553.34
114,1,Corn Salad,side,1,83.88,286.93
115,0,none,none,0,0,309.96
116,0,none,none,0,0,1258.09
117,0,none,none,0,0,271.36
118,0,none,none,0,0,152.44
119,0,none,none,0,0,685.6
120,0,none,none,0,0,301.23
121,0,none,none,0,0,911.66
122,0,none,none,0,0,293.35
123,1,Chicken Tikka Arabian,main,1,311.84,595.24
124,0,none,none,0,0,157.63
125,1,Tandoori Roti,bread,1,30,242.11
126,0,none,none,0,0,468.92
127,0,none,none,0,0,817.56
128,0,none,none,0,0,851.39
129,0,none,none,0,0,134.17
130,0,none,none,0,0,709.67
131,1,Puri | Mint Chutney,bread | dip,2,60.71,248.84
132,0,none,none,0,0,298.6
133,0,none,none,0,0,519.36
134,0,none,none,0,0,276.02
135,0,none,none,0,0,188.59
136,0,none,none,0,0,224.93
137,0,none,none,0,0,376.49
138,1,Coleslaw | Phirni,side | dessert,2,280.35,731.02
139,0,none,none,0,0,357
140,1,Watermelon Juice,drink,1,79.95,371.76
141,0,none,none,0,0,408.58
142,0,none,none,0,0,510.2
143,0,none,none,0,0,319.68
144,0,none,none,0,0,422.15
145,0,none,none,0,0,210.28
146,1,Paneer Biryani | Hara Bhara Kebab,main | starter,2,335.3,1028.09
147,1,Panna Cotta,dessert,1,104.02,594.75
148,0,none,none,0,0,582.03
149,0,none,none,0,0,190.86
150,0,none,none,0,0,1040.31
151,0,none,none,0,0,353.99
152,0,none,none,0,0,314.72
153,0,none,none,0,0,568.11
154,0,none,none,0,0,623.27
155,1,Buttermilk,drink,1,48.74,264.81
156,0,none,none,0,0,148.04
157,0,none,none,0,0,146.96
158,0,none,none,0,0,252.9
159,0,none,none,0,0,803.29
160,1,Ghee Rice,rice,1,187.97,758.98
161,0,none,none,0,0,308.6
162,0,none,none,0,0,260.07
163,1,Potato Wedges | Sugarcane Juice,side | drink,2,327.88,802.48
164,0,none,none,0,0,222.92
165,0,none,none,0,0,596.8
166,0,none,none,0,0,432.25
167,0,none,none,0,0,349.63
168,0,none,none,0,0,459.84
169,0,none,none,0,0,424.49
170,0,none,none,0,0,250.8
171,0,none,none,0,0,692.91
172,0,none,none,0,0,384.2
173,0,none,none,0,0,301.92
174,0,none,none,0,0,334.46
175,0,none,none,0,0,167.04
176,0,none,none,0,0,175.55
177,0,none,none,0,0,657.96
178,0,none,none,0,0,213.52
179,0,none,none,0,0,493.63
180,0,none,none,0,0,572.97
181,0,none,none,0,0,282.66
182,0,none,none,0,0,497.81
183,0,none,none,0,0,533.67
184,0,none,none,0,0,347.48
185,0,none,none,0,0,139.19
186,0,none,none,0,0,286.38
187,0,none,none,0,0,330.99
188,0,none,none,0,0,149.83
189,0,none,none,0,0,244.63
190,1,Choco Lava Cup,dessert,1,58.16,271.39
191,1,Watermelon Juice,drink,1,84.27,538
192,0,none,none,0,0,154.61
193,0,none,none,0,0,269.22
194,1,Mango Kulfi | Lemon Iced Tea | Garden Salad,dessert | drink | side,3,304.32,850.82
195,0,none,none,0,0,189.14
196,0,none,none,0,0,1186.07
197,0,none,none,0,0,475.32
198,1,Shahi Mutton,main,1,153.98,644.48
199,0,none,none,0,0,331.31
200,0,none,none,0,0,249.41
201,0,none,none,0,0,212.22
202,0,none,none,0,0,563.99
203,0,none,none,0,0,535.7
204,0,none,none,0,0,517.48
205,0,none,none,0,0,492.26
206,1,Virgin Mojito | Kheer,drink | dessert,2,193.36,957.27
207,0,none,none,0,0,414.62
208,0,none,none,0,0,536.81
209,0,none,none,0,0,353.08
210,1,Masala Chai,drink,1,122.53,643.36
211,0,none,none,0,0,276.57
212,0,none,none,0,0,367.64
213,0,none,none,0,0,165.71
214,0,none,none,0,0,174.33
215,0,none,none,0,0,263.04
216,0,none,none,0,0,381.76
217,0,none,none,0,0,341.91
218,0,none,none,0,0,207.18
219,1,Guacamole | Lemon Iced Tea,dip | drink,2,85.36,377.62
220,0,none,none,0,0,640.41
221,0,none,none,0,0,1254.64
222,0,none,none,0,0,172.25
223,0,none,none,0,0,901.03
224,0,none,none,0,0,260.13
225,0,none,none,0,0,368.99
226,0,none,none,0,0,340.47
227,0,none,none,0,0,344.9
228,1,Mango Lassi | Watermelon Juice | Mango Lassi,drink | drink | drink,3,155.01,316.26
229,0,none,none,0,0,359.93
230,0,none,none,0,0,330.81
231,1,Vegetable Fried Rice | Focaccia,rice | bread,2,291.01,839.03
232,0,none,none,0,0,234.1
233,0,none,none,0,0,556.16
234,0,none,none,0,0,240.94
235,0,none,none,0,0,579.89
236,0,none,none,0,0,525.26
237,0,none,none,0,0,315.82
238,0,none,none,0,0,326.49
239,0,none,none,0,0,260.82
240,0,none,none,0,0,369.06
241,0,none,none,0,0,338.71
242,0,none,none,0,0,737.02
243,0,none,none,0,0,304.75
244,0,none,none,0,0,276.28
245,1,Raita | Gajar Halwa | Tandoori Roti,side | dessert | bread,3,195.39,746.66
246,0,none,none,0,0,183.16
247,0,none,none,0,0,221.27
248,0,none,none,0,0,208.21
249,0,none,none,0,0,382.16
250,1,Rasgulla,dessert,1,70.33,563.47
251,0,none,none,0,0,190.64
252,1,Butter Naan | Saffron Rice,bread | rice,2,252.11,1188.76
253,1,Rasgulla,dessert,1,143.9,708.25
254,0,none,none,0,0,782.92
255,0,none,none,0,0,315.24
256,0,none,none,0,0,276.04
257,0,none,none,0,0,254.5
258,0,none,none,0,0,278.84
259,1,Brownie with Ice Cream | Phirni,dessert | dessert,2,229.8,514.56
260,0,none,none,0,0,274.89
261,0,none,none,0,0,421.77
262,0,none,none,0,0,774.95
263,0,none,none,0,0,256.02
264,0,none,none,0,0,1122.9
265,0,none,none,0,0,646.89
266,0,none,none,0,0,592.11
267,0,none,none,0,0,469.84
268,0,none,none,0,0,857.5
269,0,none,none,0,0,146.92
270,0,none,none,0,0,821.37
271,1,Masala Chai,drink,1,48.53,276.35
272,0,none,none,0,0,566.95
273,0,none,none,0,0,224.06
274,0,none,none,0,0,639.64
275,0,none,none,0,0,360.27
276,0,none,none,0,0,160.81
277,0,none,none,0,0,248.27
278,0,none,none,0,0,237.89
279,0,none,none,0,0,376.37
280,0,none,none,0,0,236.87
281,0,none,none,0,0,314.18
282,0,none,none,0,0,122.88
283,1,Stuffed Paratha | Garlic Bread Sticks,bread | bread,2,109.06,378.61
284,0,none,none,0,0,454.14
285,1,Brownie with Ice Cream | Sugarcane Juice | Gulab Jamun,dessert | drink | dessert,3,263.87,911.84
286,0,none,none,0,0,741.54
287,0,none,none,0,0,485.8
288,0,none,none,0,0,350.66
289,0,none,none,0,0,361.18
290,1,Coleslaw,side,1,106.76,411.18
291,1,Steamed Vegetables | Waffles with Ice Cream,side | main,2,375.85,948.39
292,0,none,none,0,0,257.26
293,1,Focaccia,bread,1,45.03,273.43
294,0,none,none,0,0,190.18
295,0,none,none,0,0,227.3
296,0,none,none,0,0,466.55
297,0,none,none,0,0,966.19
298,0,none,none,0,0,519.49
299,0,none,none,0,0,298.05
300,1,Potato Wedges,side,1,71.98,446.91
301,0,none,none,0,0,358.67
302,1,Brownie with Ice Cream | Phirni | Gulab Jamun,dessert | dessert | dessert,3,345.09,587.61
303,0,none,none,0,0,196.1
304,1,Garlic Bread Sticks,bread,1,45.11,306.17
305,1,Ranch Dip | Tzatziki | Garden Salad | Garlic Bread Sticks,dip | dip | side | bread,4,174.53,576.74
306,1,Andhra Chicken Fry,main,1,126.57,613.88
307,1,Fresh Lime Soda | Virgin Mojito,drink | drink,2,108.68,441.53
308,1,Buttermilk,drink,1,56.53,418.75
309,0,none,none,0,0,142.74
310,0,none,none,0,0,291.97
311,0,none,none,0,0,371.46
312,0,none,none,0,0,583.15
313,0,none,none,0,0,336.17
314,0,none,none,0,0,583.82
315,0,none,none,0,0,354.32
316,0,none,none,0,0,600.1
317,0,none,none,0,0,374
318,0,none,none,0,0,190.76
319,0,none,none,0,0,510.23
320,0,none,none,0,0,775.84
321,0,none,none,0,0,258.24
322,0,none,none,0,0,402.72
323,0,none,none,0,0,292.43
324,0,none,none,0,0,713.19
325,0,none,none,0,0,577.35
326,0,none,none,0,0,280.68
327,0,none,none,0,0,374.57
328,0,none,none,0,0,337.33
329,0,none,none,0,0,372.21
330,0,none,none,0,0,883.72
331,1,Sugarcane Juice | Garlic Bread Sticks,drink | bread,2,71.86,374.94
332,0,none,none,0,0,607.86
333,0,none,none,0,0,282.97
334,1,Corn Salad | Multigrain Bread | Stir Fried Veggies | Panna Cotta,side | bread | side | dessert,4,275.94,660.58
335,0,none,none,0,0,227.41
336,0,none,none,0,0,349.74
337,0,none,none,0,0,167.09
338,0,none,none,0,0,495.38
339,1,Tzatziki,dip,1,31.05,235.61
340,0,none,none,0,0,389.91
341,0,none,none,0,0,374.67
342,1,Kheer | Watermelon Juice | Focaccia,dessert | drink | bread,3,153.74,299.16
343,1,Mint Chutney,dip,1,64.62,729.6
344,0,none,none,0,0,149.33
345,0,none,none,0,0,145.42
346,0,none,none,0,0,606.71
347,0,none,none,0,0,538.25
348,0,none,none,0,0,232.9
349,1,Fresh Lime Soda | Rasgulla,drink | dessert,2,198.33,813.41
350,0,none,none,0,0,324.72
351,0,none,none,0,0,660.57
352,0,none,none,0,0,236.23
353,0,none,none,0,0,279.9
354,0,none,none,0,0,222.17
355,0,none,none,0,0,356.86
356,0,none,none,0,0,931.96
357,0,none,none,0,0,775.32
358,0,none,none,0,0,339.08
359,0,none,none,0,0,334.69
360,0,none,none,0,0,508.06
361,0,none,none,0,0,180.5
362,1,Mango Kulfi,dessert,1,79.81,1010.74
363,0,none,none,0,0,942.1
364,0,none,none,0,0,124.33
365,1,Cheese Naan,bread,1,30,223.54
366,1,Guacamole,dip,1,30,474.77
367,0,none,none,0,0,317.96
368,1,Mango Lassi | Multigrain Bread,drink | bread,2,159.76,805.88
369,0,none,none,0,0,546.85
370,0,none,none,0,0,752.53
371,0,none,none,0,0,836.1
372,0,none,none,0,0,617.01
373,0,none,none,0,0,168.66
374,1,Saffron Rice | Peas Pulao,rice | rice,2,183.8,520.23
375,1,Rasgulla,dessert,1,127.23,461.67
376,0,none,none,0,0,826.42
377,0,none,none,0,0,168.07
378,0,none,none,0,0,411.23
379,0,none,none,0,0,435.36
380,0,none,none,0,0,591.72
381,0,none,none,0,0,495.31
382,0,none,none,0,0,963.68
383,0,none,none,0,0,166.37
384,0,none,none,0,0,312.88
385,0,none,none,0,0,914.17
386,1,Fish Tikka | Hummus,starter | dip,2,115.85,334.41
387,1,Buttermilk | Tzatziki | Cheese Dip | Masala Papad,drink | dip | dip | side,4,165.01,310.68
388,0,none,none,0,0,1101.74
389,0,none,none,0,0,397
390,1,Sriracha Sauce | Buttermilk,dip | drink,2,140.81,479.34
391,1,Choco Lava Cup,dessert,1,119.15,475.54
392,0,none,none,0,0,455.77
393,0,none,none,0,0,859.25
394,1,Stuffed Paratha | Watermelon Juice,bread | drink,2,148.65,341.91
395,1,Multigrain Bread,bread,1,35.87,147.52
396,0,none,none,0,0,202.35
397,0,none,none,0,0,356.87
398,0,none,none,0,0,335.3
399,0,none,none,0,0,180.07
400,0,none,none,0,0,438.31
401,0,none,none,0,0,827.26
402,0,none,none,0,0,198.87
403,0,none,none,0,0,298.21
404,1,Watermelon Juice,drink,1,76.54,757.23
405,1,Tzatziki | Sriracha Sauce,dip | dip,2,102.87,355.12
406,0,none,none,0,0,570.55
407,0,none,none,0,0,304.71
408,0,none,none,0,0,178.59
409,1,Masala Chai | Hummus,drink | dip,2,93.17,491.02
410,0,none,none,0,0,261.87
411,1,Samosa,starter,1,176.38,916.22
412,1,Bruschetta,starter,1,132.66,504.22
413,0,none,none,0,0,338.34
414,0,none,none,0,0,490.68
415,0,none,none,0,0,373.26
416,0,none,none,0,0,417.88
417,0,none,none,0,0,265.62
418,0,none,none,0,0,917.32
419,0,none,none,0,0,536.17
420,0,none,none,0,0,159.4
421,0,none,none,0,0,483.76
422,0,none,none,0,0,1016.96
423,0,none,none,0,0,1272.54
424,0,none,none,0,0,331.46
425,0,none,none,0,0,298.69
426,0,none,none,0,0,223.02
427,0,none,none,0,0,320.51
428,0,none,none,0,0,179.22
429,0,none,none,0,0,274.92
430,0,none,none,0,0,283.14
431,0,none,none,0,0,427.4
432,0,none,none,0,0,274.91
433,0,none,none,0,0,326.99
434,1,Raita | Cold Coffee | Peri Peri Sauce,side | drink | dip,3,269.07,515.71
435,0,none,none,0,0,760.33
436,1,Cold Coffee | Watermelon Juice,drink | drink,2,142.75,872.1
437,0,none,none,0,0,510.98
438,0,none,none,0,0,169.01
439,0,none,none,0,0,317.71
440,0,none,none,0,0,207.75
441,0,none,none,0,0,594.61
442,0,none,none,0,0,171.56
443,0,none,none,0,0,228.57
444,0,none,none,0,0,431.23
445,1,Rasgulla,dessert,1,118.36,622.92
446,0,none,none,0,0,179.54
447,0,none,none,0,0,259.4
448,1,Buttermilk,drink,1,44.86,261.12
449,0,none,none,0,0,229.66
450,0,none,none,0,0,639.52
451,0,none,none,0,0,173.97
452,0,none,none,0,0,570.51
453,0,none,none,0,0,231.27
454,1,Guacamole | Butter Naan,dip | bread,2,139.08,514.65
455,0,none,none,0,0,231.86
456,1,Banana Milkshake | Cheese Dip,drink | dip,2,67.32,269.02
457,1,Raita,side,1,88.22,513.44
458,0,none,none,0,0,261.84
459,0,none,none,0,0,187.83
460,0,none,none,0,0,548.93
461,0,none,none,0,0,602.56
462,0,none,none,0,0,525.01
463,0,none,none,0,0,116.68
464,0,none,none,0,0,838.05
465,0,none,none,0,0,337.6
466,0,none,none,0,0,213.88
467,0,none,none,0,0,166.51
468,0,none,none,0,0,516.85
469,1,Cold Coffee | Cold Coffee,drink | drink,2,104.31,411.94
470,0,none,none,0,0,358.26
471,0,none,none,0,0,370.8
472,0,none,none,0,0,694.66
473,0,none,none,0,0,275.05
474,0,none,none,0,0,168.04
475,0,none,none,0,0,303.28
476,0,none,none,0,0,793.41
477,0,none,none,0,0,641.92
478,0,none,none,0,0,264.27
479,0,none,none,0,0,218.47
480,0,none,none,0,0,270.63
481,0,none,none,0,0,381.64
482,0,none,none,0,0,253.14
483,0,none,none,0,0,200.08
484,0,none,none,0,0,176.37
485,1,Cheese Dip,dip,1,30,371.64
486,0,none,none,0,0,209.81
487,1,Cheese Dip | Potato Wedges,dip | side,2,190.52,1070.62
488,0,none,none,0,0,322.08
489,0,none,none,0,0,329
490,0,none,none,0,0,283.72
491,0,none,none,0,0,371.3
492,0,none,none,0,0,164.05
493,0,none,none,0,0,156.12
494,0,none,none,0,0,310.31
495,0,none,none,0,0,407.02
496,0,none,none,0,0,364.14
497,0,none,none,0,0,144.08
498,1,Stir Fried Veggies,side,1,65.82,233.4
499,0,none,none,0,0,771.77
500,0,none,none,0,0,257.13
501,1,Lemon Iced Tea,drink,1,88.64,1277.87
502,0,none,none,0,0,799.47
503,0,none,none,0,0,174.82
504,0,none,none,0,0,139.19
505,0,none,none,0,0,371.76
506,0,none,none,0,0,286.81
507,0,none,none,0,0,489.66
508,0,none,none,0,0,598.38
509,0,none,none,0,0,401.75
510,0,none,none,0,0,463.78
511,1,Coleslaw | Gulab Jamun,side | dessert,2,253.34,665.5
512,0,none,none,0,0,211.76
513,0,none,none,0,0,856.77
514,0,none,none,0,0,388.08
515,1,Phirni | Butter Naan,dessert | bread,2,177.58,520.03
516,1,Sriracha Sauce,dip,1,30,324.96
517,0,none,none,0,0,148.04
518,0,none,none,0,0,438.59
519,0,none,none,0,0,258.47
520,1,Chicken Biryani | Phirni,main | dessert,2,395.24,1051.75
521,1,Jeera Aloo,side,1,73.62,310.52
522,0,none,none,0,0,282.72
523,0,none,none,0,0,337.45
524,1,Kheer,dessert,1,73.61,301.12
525,0,none,none,0,0,647.81
526,0,none,none,0,0,383.96
527,0,none,none,0,0,324.94
528,0,none,none,0,0,189.3
529,0,none,none,0,0,171.99
530,0,none,none,0,0,275.47
531,1,Corn Salad | Virgin Mojito | Onion Rings,side | drink | side,3,327.94,588.08
532,0,none,none,0,0,320.25
533,0,none,none,0,0,212.33
534,0,none,none,0,0,133.68
535,0,none,none,0,0,374.85
536,0,none,none,0,0,555.88
537,1,Gajar Halwa,dessert,1,101.33,666.54
538,1,Ranch Dip,dip,1,30,176.51
539,0,none,none,0,0,728.47
540,1,Rasgulla,dessert,1,66.34,272.41
541,1,Panna Cotta | Chocolate Mousse,dessert | dessert,2,224.27,1101.09
542,0,none,none,0,0,588.01
543,0,none,none,0,0,394.05
544,0,none,none,0,0,845.41
545,0,none,none,0,0,367.56
546,0,none,none,0,0,216.32
547,0,none,none,0,0,420.78
548,1,Focaccia,bread,1,55.47,513.02
549,1,Peri Peri Sauce,dip,1,42.56,390.76
550,0,none,none,0,0,234.3
551,0,none,none,0,0,238.3
552,0,none,none,0,0,281.03
553,0,none,none,0,0,814.25
554,0,none,none,0,0,437.75
555,0,none,none,0,0,341.17
556,0,none,none,0,0,508.21
557,0,none,none,0,0,956.44
558,0,none,none,0,0,548.85
559,0,none,none,0,0,336.97
560,0,none,none,0,0,327.11
561,0,none,none,0,0,981.2
562,0,none,none,0,0,1155.57
563,0,none,none,0,0,171.72
564,1,Veg Biryani | Cold Coffee | Brown Rice,main | drink | rice,3,299.91,775.26
565,0,none,none,0,0,585.99
566,1,Masala Chai,drink,1,58.43,225.67
567,1,Banana Milkshake | Raita,drink | side,2,114.3,546.77
568,0,none,none,0,0,271.28
569,0,none,none,0,0,135.11
570,1,Tamarind Chutney,dip,1,30,152.67
571,0,none,none,0,0,158.96
572,0,none,none,0,0,341.6
573,0,none,none,0,0,360.88
574,0,none,none,0,0,1167.68
575,1,Hummus,dip,1,30.43,667.82
576,1,Garlic Bread Sticks,bread,1,30,231.84
577,0,none,none,0,0,155.47
578,0,none,none,0,0,179.31
579,0,none,none,0,0,810.68
580,0,none,none,0,0,279.67
581,0,none,none,0,0,209.82
582,1,Tandoori Roti | Mango Kulfi,bread | dessert,2,222.93,600.82
583,1,Tandoori Roti | Watermelon Juice | Panna Cotta,bread | drink | dessert,3,156.23,654.58
584,0,none,none,0,0,390.11
585,0,none,none,0,0,436.93
586,1,Curd Rice,rice,1,111.81,225.48
587,0,none,none,0,0,336.47
588,0,none,none,0,0,601.82
589,0,none,none,0,0,475.04
590,0,none,none,0,0,1052.65
591,1,Lemon Iced Tea | Vegetable Fried Rice,drink | rice,2,141.36,493.75
592,0,none,none,0,0,273.58
593,1,Gajar Halwa | Tandoori Roti,dessert | bread,2,127.99,274.95
594,0,none,none,0,0,541.28
595,0,none,none,0,0,1110.4
596,0,none,none,0,0,317.34
597,0,none,none,0,0,265.38
598,0,none,none,0,0,328.38
599,0,none,none,0,0,850.07
600,0,none,none,0,0,540.47
601,0,none,none,0,0,524.71
602,0,none,none,0,0,203.85
603,0,none,none,0,0,412.78
604,1,Samosa,starter,1,104.31,568.64
605,0,none,none,0,0,800.59
606,0,none,none,0,0,410.95
607,0,none,none,0,0,218.24
608,0,none,none,0,0,714.58
609,0,none,none,0,0,518.72
610,0,none,none,0,0,267.41
611,0,none,none,0,0,178.74
612,0,none,none,0,0,502.63
613,1,Garlic Bread Sticks | Mango Lassi | Tandoori Roti,bread | drink | bread,3,179.72,1276.2
614,1,Gulab Jamun | Phirni,dessert | dessert,2,243.01,894.19
615,1,Cheese Dip | Buttermilk,dip | drink,2,73.18,259.27
616,0,none,none,0,0,741.4
617,0,none,none,0,0,565.99
618,0,none,none,0,0,428.74
619,1,Veg Spring Rolls,starter,1,156.21,531.38
620,0,none,none,0,0,270.33
621,1,Kheer,dessert,1,155.46,525.19
622,0,none,none,0,0,260.13
623,0,none,none,0,0,476.4
624,0,none,none,0,0,187.12
625,0,none,none,0,0,598.78
626,0,none,none,0,0,223.28
627,0,none,none,0,0,232.05
628,1,Fish Tikka | Gulab Jamun,starter | dessert,2,313.43,878.16
629,0,none,none,0,0,576.91
630,1,Kheer,dessert,1,73.63,237.45
631,0,none,none,0,0,327.76
632,0,none,none,0,0,175.7
633,1,Paratha,bread,1,68.57,817.14
634,1,Jeera Rice | Cold Coffee | Lemon Iced Tea,rice | drink | drink,3,206.85,484.05
635,0,none,none,0,0,555.6
636,0,none,none,0,0,637.88
637,0,none,none,0,0,182.47
638,0,none,none,0,0,181.05
639,0,none,none,0,0,215.47
640,0,none,none,0,0,213.72
641,0,none,none,0,0,377.01
642,0,none,none,0,0,242.98
643,0,none,none,0,0,454.64
644,0,none,none,0,0,632.58
645,0,none,none,0,0,309.13
646,0,none,none,0,0,888.65
647,0,none,none,0,0,1238.37
648,0,none,none,0,0,516.32
649,0,none,none,0,0,389.71
650,0,none,none,0,0,374.23
651,0,none,none,0,0,258.5
652,0,none,none,0,0,416.87
653,0,none,none,0,0,332.13
654,0,none,none,0,0,268.85
655,0,none,none,0,0,593.56
656,0,none,none,0,0,194.67
657,0,none,none,0,0,145.77
658,0,none,none,0,0,219.8
659,1,Choco Lava Cup | Watermelon Juice,dessert | drink,2,123.95,311.74
660,0,none,none,0,0,336.74
661,1,Watermelon Juice,drink,1,46.37,630.72
662,0,none,none,0,0,141.24
663,0,none,none,0,0,544.52
664,0,none,none,0,0,270.71
665,0,none,none,0,0,504.25
666,1,Chocolate Lava Cake | Puri,main | bread,2,238.21,459.51
667,0,none,none,0,0,486.88
668,0,none,none,0,0,486.9
669,0,none,none,0,0,300.46
670,0,none,none,0,0,166.51
671,0,none,none,0,0,819.35
672,0,none,none,0,0,181.77
673,0,none,none,0,0,268.63
674,0,none,none,0,0,149.99
675,0,none,none,0,0,254.46
676,1,Stuffed Paratha | Ghee Rice,bread | rice,2,296.87,533.31
677,0,none,none,0,0,131.02
678,0,none,none,0,0,532.53
679,0,none,none,0,0,256.27
680,0,none,none,0,0,290.66
681,1,Lemon Iced Tea | Raita,drink | side,2,247.83,1156.51
682,1,Crispy Calamari,starter,1,133.25,419.35
683,0,none,none,0,0,615.75
684,1,Chocolate Mousse,dessert,1,87.28,393.89
685,0,none,none,0,0,402.37
686,0,none,none,0,0,372.1
687,0,none,none,0,0,516.56
688,0,none,none,0,0,429.16
689,0,none,none,0,0,406.97
690,0,none,none,0,0,327.74
691,1,Curd Rice,rice,1,157.95,1000.07
692,1,Choco Lava Cup,dessert,1,57.78,249.85
693,0,none,none,0,0,136.37
694,0,none,none,0,0,497.84
695,0,none,none,0,0,720.53
696,0,none,none,0,0,145.31
697,0,none,none,0,0,588.66
698,1,Potato Wedges,side,1,65.23,258.61
699,0,none,none,0,0,407.05
700,0,none,none,0,0,606.56
701,0,none,none,0,0,278.11
702,0,none,none,0,0,387.36
703,0,none,none,0,0,231.92
704,1,Banana Milkshake,drink,1,67.22,579.76
705,0,none,none,0,0,202.3
706,0,none,none,0,0,871.27
707,0,none,none,0,0,252.57
708,0,none,none,0,0,169.87
709,0,none,none,0,0,170.71
710,0,none,none,0,0,281.94
711,0,none,none,0,0,223.87
712,0,none,none,0,0,760.19
713,1,Cheese Dip,dip,1,30,208.48
714,0,none,none,0,0,619.34
715,0,none,none,0,0,375.06
716,1,Jeera Aloo,side,1,89.11,738.69
717,0,none,none,0,0,558.08
718,0,none,none,0,0,939.38
719,0,none,none,0,0,1025.9
720,0,none,none,0,0,587.49
721,1,Tzatziki | Cold Coffee | Mint Chutney,dip | drink | dip,3,179.53,802.53
722,0,none,none,0,0,688.28
723,0,none,none,0,0,212.33
