user_id,user_segment,user_city,user_preferred_cuisine,user_veg_preference,user_price_sensitivity,user_order_frequency_30d,user_avg_order_value,user_recency_days,user_preferred_addon_category,user_addon_acceptance_rate
2459,budget,delhi,south_indian,0,0.724035728,7,405.1257652,4,side,0.05
2613,budget,mumbai,fast_food,1,0.835154229,9,398.6231609,37,bread,0.0525
2278,mid,bengaluru,biryani,0,0.384803012,3,764.3725943,29,side,0.2132
1955,premium,kolkata,north_indian,0,0.215188078,8,366.5173717,37,dessert,0.3031
1514,budget,bengaluru,desserts,0,0.173024137,3,134.6933086,28,side,0.1664
425,budget,delhi,continental,1,0.95,4,475.2181556,25,side,0.05
3272,mid,mumbai,continental,1,0.76227469,4,380.5800004,6,dip,0.1064
694,mid,hyderabad,desserts,1,0.512750717,10,619.931045,35,bread,0.1266
402,mid,bengaluru,desserts,1,0.328013596,5,998.6141658,28,dip,0.1423
623,mid,mumbai,continental,0,0.577207712,4,735.3110763,8,side,0.1741
3240,budget,hyderabad,south_indian,0,0.805934969,5,311.3277051,24,dip,0.05
1305,budget,hyderabad,chinese,1,0.632586865,6,660.4824883,31,side,0.0774
775,budget,kolkata,north_indian,1,0.707265417,6,745.233022,36,side,0.0754
2049,mid,mumbai,north_indian,0,0.526069761,6,299.1907379,4,dip,0.1332
3899,budget,hyderabad,arabian,0,0.5956107,4,538.4704629,5,dip,0.0764
582,budget,chennai,chinese,0,0.509246623,7,571.8843286,2,dip,0.072
418,mid,chennai,italian,0,0.468103146,1,287.1629124,4,bread,0.1295
2778,mid,bengaluru,italian,0,0.429084706,10,1044.513244,10,drink,0.0989
3115,budget,hyderabad,chinese,1,0.489740079,6,871.8446595,3,side,0.1467
1306,mid,mumbai,fast_food,0,0.614676245,5,550.9305957,3,side,0.1245
3885,mid,bengaluru,continental,1,0.279336669,13,478.4764006,5,side,0.2185
3372,premium,delhi,south_indian,1,0.50425428,5,863.412785,37,drink,0.2777
1220,mid,mumbai,italian,1,0.458722205,8,243.1554302,6,bread,0.1979
2446,mid,bengaluru,north_indian,1,0.717298688,6,430.1458592,4,dip,0.1173
1651,mid,delhi,biryani,1,0.292462964,4,1064.701379,10,dip,0.2524
1159,premium,bengaluru,chinese,1,0.05,5,868.2308052,30,starter,0.3577
539,premium,bengaluru,desserts,1,0.372726836,4,381.1111353,36,dessert,0.2675
1772,budget,mumbai,chinese,0,0.236364099,4,1198.762311,5,dip,0.1342
1222,mid,bengaluru,arabian,0,0.684941217,5,639.3837467,41,dip,0.1359
3771,mid,bengaluru,north_indian,0,0.287075313,6,707.4757794,30,bread,0.2172
2827,budget,bengaluru,biryani,0,0.426636308,8,419.618474,10,side,0.05
2518,mid,hyderabad,desserts,0,0.441980008,4,429.1519228,3,drink,0.109
3006,mid,hyderabad,continental,0,0.52872563,9,932.3623702,6,dip,0.1607
2024,premium,chennai,south_indian,0,0.234056622,3,1400.466774,2,dessert,0.3543
1051,budget,mumbai,arabian,0,0.475293076,5,522.2876406,6,side,0.0548
3424,mid,delhi,continental,0,0.293507717,6,381.100369,2,side,0.0959
576,budget,mumbai,biryani,0,0.05,4,1589.079815,42,dip,0.0887
3396,mid,pune,desserts,0,0.683626267,9,459.9015605,3,dip,0.1176
594,premium,bengaluru,arabian,0,0.639459584,4,249.0977847,4,drink,0.2393
2799,budget,delhi,continental,1,0.807250288,1,465.9297217,23,dip,0.05
3066,premium,pune,fast_food,0,0.570765332,5,481.4314201,9,starter,0.232
780,premium,mumbai,biryani,0,0.572127893,5,551.175265,3,dessert,0.3061
444,budget,bengaluru,continental,0,0.5905493,4,1117.402571,2,side,0.1342
2963,mid,mumbai,desserts,1,0.725119372,6,230.2541812,5,side,0.1467
2350,budget,mumbai,south_indian,0,0.830144271,4,1398.915544,5,side,0.05
2065,mid,pune,south_indian,0,0.591901629,7,470.720667,22,bread,0.114
2883,mid,hyderabad,north_indian,1,0.86848627,8,1062.958604,7,dip,0.099
1930,budget,bengaluru,chinese,1,0.854473343,4,665.0018278,3,bread,0.05
1582,budget,chennai,chinese,0,0.735475103,4,601.5526301,3,dip,0.05
2638,budget,bengaluru,fast_food,0,0.410132308,4,561.2071558,19,side,0.1126
726,budget,hyderabad,desserts,0,0.477095657,7,349.6998228,6,bread,0.064
684,mid,kolkata,arabian,0,0.372383084,10,308.5084132,9,drink,0.1457
3631,budget,delhi,biryani,1,0.055320615,8,536.5106437,35,side,0.0737
1,premium,mumbai,fast_food,1,0.395647128,8,482.1734319,4,drink,0.2473
1148,budget,mumbai,fast_food,1,0.504704345,4,296.7699643,7,bread,0.1357
3836,mid,delhi,desserts,0,0.444841896,4,486.7350975,10,drink,0.1977
3003,mid,pune,continental,1,0.506704692,4,1155.51472,3,bread,0.1979
3398,mid,hyderabad,north_indian,0,0.517478416,6,705.114931,9,side,0.1578
997,mid,hyderabad,south_indian,0,0.661729709,6,179.6513444,7,dip,0.1594
1508,premium,bengaluru,desserts,1,0.512492025,5,895.6327696,5,drink,0.2813
291,mid,bengaluru,fast_food,0,0.290435376,6,607.8848754,4,bread,0.2217
276,mid,chennai,chinese,1,0.201744399,10,527.1630423,6,side,0.1915
2756,budget,chennai,biryani,1,0.514111998,3,555.5259655,22,dip,0.1081
3985,mid,delhi,fast_food,0,0.777390376,4,502.2455969,1,side,0.1549
1137,mid,hyderabad,arabian,0,0.502191458,4,694.9386254,6,side,0.1896
2297,budget,mumbai,continental,0,0.516387462,4,777.4089763,6,dip,0.1027
1416,mid,mumbai,north_indian,1,0.327244873,5,791.4483926,2,side,0.1844
2839,mid,bengaluru,arabian,0,0.456322157,7,573.4441898,9,dip,0.1587
2373,budget,delhi,desserts,0,0.315000749,6,744.0180172,6,bread,0.0814
928,premium,bengaluru,desserts,0,0.364451469,5,421.7508489,7,starter,0.2757
1015,premium,bengaluru,arabian,0,0.2812049,8,787.5737737,8,dessert,0.3422
999,mid,hyderabad,biryani,0,0.888855359,4,828.2891906,1,bread,0.1258
1424,budget,hyderabad,south_indian,0,0.212237474,9,819.5933571,4,side,0.1219
3135,budget,mumbai,biryani,0,0.564803125,2,385.5707889,32,dip,0.1556
1704,budget,chennai,continental,1,0.766171996,2,903.8342092,8,bread,0.05
1926,premium,hyderabad,continental,0,0.551308943,9,533.9457833,9,drink,0.2169
1790,budget,delhi,chinese,0,0.423012776,4,1804.223309,35,bread,0.1075
3809,mid,pune,arabian,0,0.413273552,5,582.7019695,34,dip,0.21
1077,budget,kolkata,chinese,0,0.728769726,4,850.9938169,6,dip,0.05
2673,mid,bengaluru,continental,0,0.709758896,7,275.1808713,5,bread,0.1521
3074,premium,delhi,north_indian,0,0.631431924,4,168.1403706,36,starter,0.3073
3600,mid,delhi,south_indian,0,0.341281781,4,409.7613464,11,drink,0.1392
3347,mid,mumbai,continental,1,0.398037435,9,417.3317508,5,side,0.1484
2106,budget,mumbai,south_indian,1,0.39322717,8,568.4756248,6,side,0.0574
1969,mid,chennai,italian,0,0.632778159,3,798.9882793,8,drink,0.1397
2568,premium,bengaluru,arabian,1,0.259593726,3,262.3022361,10,starter,0.2356
806,budget,hyderabad,south_indian,1,0.95,3,847.1204321,5,dip,0.05
1109,budget,bengaluru,biryani,0,0.859979643,8,1096.602005,3,bread,0.05
390,budget,pune,arabian,1,0.426770603,7,167.007421,4,side,0.1467
3264,budget,delhi,biryani,1,0.151055135,11,175.7421323,1,bread,0.113
1636,budget,mumbai,desserts,0,0.205998137,4,621.3746897,6,dip,0.0975
1019,mid,delhi,italian,0,0.343477378,7,399.7811251,7,drink,0.1403
1273,mid,hyderabad,chinese,0,0.138791277,6,713.994103,5,bread,0.2345
3599,budget,bengaluru,chinese,1,0.516230728,6,1267.068994,6,dip,0.0877
67,mid,chennai,arabian,0,0.470527774,8,579.5706146,6,dip,0.1163
1627,budget,mumbai,continental,1,0.652883231,8,543.6607995,8,dip,0.05
2966,mid,bengaluru,fast_food,0,0.761803072,7,1174.111079,4,bread,0.1815
2637,budget,mumbai,chinese,0,0.701700446,5,999.1682524,5,bread,0.05
1534,mid,pune,italian,0,0.706390751,7,1281.52032,4,drink,0.1149
1101,mid,bengaluru,south_indian,0,0.307779818,3,848.9573318,7,drink,0.1974
2914,premium,mumbai,chinese,0,0.555297774,4,924.1554348,9,dessert,0.2329
1224,premium,chennai,italian,0,0.534461879,0,500.2276376,2,dessert,0.2793
3593,budget,bengaluru,chinese,1,0.331670854,6,182.6188204,1,dip,0.103
3976,premium,hyderabad,north_indian,1,0.474566892,10,1269.303659,2,starter,0.2023
2176,budget,delhi,biryani,1,0.391531265,5,866.9822224,2,side,0.1365
2623,mid,hyderabad,italian,1,0.563086284,8,871.0735561,29,side,0.1104
489,budget,mumbai,desserts,0,0.646917198,3,415.965787,4,side,0.05
2218,mid,bengaluru,south_indian,1,0.318635831,7,284.5125166,31,dip,0.2161
2964,budget,hyderabad,fast_food,1,0.294019966,8,640.7698285,5,side,0.0817
1167,mid,delhi,fast_food,0,0.510210639,6,819.0728822,4,dip,0.1192
1108,budget,delhi,desserts,1,0.714461115,7,182.4777316,32,side,0.1016
2729,budget,hyderabad,fast_food,0,0.733742002,9,1375.393209,29,side,0.119
1699,mid,hyderabad,italian,0,0.238020409,5,593.0358905,6,drink,0.1473
3601,budget,bengaluru,italian,0,0.319259776,10,527.2598978,6,bread,0.188
666,mid,mumbai,fast_food,1,0.95,4,608.2648738,29,drink,0.1352
1912,mid,delhi,desserts,0,0.298751494,7,310.0583389,30,dip,0.16
2529,premium,bengaluru,italian,1,0.270681057,3,509.9589254,5,drink,0.3521
2798,mid,hyderabad,desserts,1,0.778307042,2,404.5260967,5,bread,0.0716
1418,mid,bengaluru,biryani,1,0.607827657,5,417.2510186,24,drink,0.1528
2150,budget,bengaluru,fast_food,1,0.321134413,6,263.2666019,1,dip,0.1266
1989,mid,bengaluru,biryani,0,0.804500762,4,440.6144872,3,dip,0.1187
2360,mid,hyderabad,fast_food,1,0.367561106,6,1049.304624,22,bread,0.1343
820,budget,hyderabad,biryani,0,0.490169739,3,815.1217939,3,bread,0.0941
1652,mid,bengaluru,biryani,0,0.393230869,6,668.3983261,4,bread,0.1493
490,budget,pune,italian,0,0.61113543,11,264.314991,6,bread,0.05
1531,premium,bengaluru,biryani,0,0.613476053,5,626.5157305,6,dessert,0.1672
2478,budget,hyderabad,arabian,1,0.674611704,3,354.3453796,4,bread,0.0686
1641,premium,pune,italian,0,0.809531522,4,410.869102,5,drink,0.228
1463,mid,bengaluru,arabian,1,0.256662373,3,2276.156975,5,bread,0.2128
3820,budget,hyderabad,north_indian,0,0.313529664,4,646.2883526,40,bread,0.1296
113,mid,delhi,continental,0,0.278352551,9,444.3323577,4,bread,0.2019
2684,mid,mumbai,biryani,0,0.532363837,4,1328.172334,5,side,0.1312
3967,mid,mumbai,desserts,0,0.558934541,3,562.3625431,7,side,0.1435
627,mid,delhi,continental,0,0.542806105,11,632.1724544,4,dip,0.1486
1553,premium,chennai,chinese,0,0.739067022,6,474.3331407,2,starter,0.2538
3944,budget,delhi,fast_food,0,0.503040071,9,962.1024559,1,dip,0.05
326,mid,bengaluru,fast_food,1,0.554124928,7,741.2928153,32,drink,0.1147
967,budget,bengaluru,desserts,0,0.356404547,6,535.6739025,6,side,0.1217
1450,budget,bengaluru,chinese,1,0.579037815,6,658.6493377,27,bread,0.0904
3413,budget,mumbai,north_indian,0,0.167658267,6,895.6329935,7,dip,0.1505
2353,mid,chennai,fast_food,0,0.306789449,7,387.3317031,4,dip,0.2093
85,premium,chennai,fast_food,0,0.95,8,435.5284824,3,starter,0.163
2736,mid,delhi,italian,0,0.341176583,4,889.468023,9,dip,0.2259
245,budget,delhi,arabian,0,0.481777377,2,803.8796479,33,bread,0.0749
3543,budget,delhi,chinese,0,0.209469213,4,550.4093726,8,side,0.05
3148,budget,hyderabad,desserts,1,0.72460975,11,365.0709947,26,side,0.05
748,budget,mumbai,fast_food,0,0.608438287,3,171.6779097,31,dip,0.0948
3265,premium,pune,italian,0,0.695991711,4,582.9171902,6,starter,0.248
766,budget,delhi,continental,0,0.95,6,761.5579683,6,side,0.05
3092,mid,delhi,biryani,1,0.605597188,2,634.6415518,29,bread,0.1708
2937,budget,hyderabad,north_indian,1,0.568325721,8,747.4772481,8,bread,0.0613
3106,mid,mumbai,fast_food,1,0.152733296,9,1055.856953,7,drink,0.2068
2877,budget,pune,fast_food,0,0.444249238,2,806.4209446,7,bread,0.0556
1155,mid,bengaluru,desserts,1,0.489589457,4,469.102788,7,bread,0.1064
671,premium,hyderabad,arabian,1,0.666067808,7,227.209401,4,dessert,0.2231
3114,mid,chennai,fast_food,1,0.618520379,3,766.0862156,5,bread,0.097
3858,mid,pune,biryani,0,0.338938456,4,1036.35433,3,dip,0.243
1631,mid,delhi,desserts,1,0.54203746,7,490.4959823,40,side,0.1092
1921,budget,mumbai,biryani,0,0.486306834,0,802.9842863,4,side,0.0905
551,budget,bengaluru,arabian,0,0.472448753,8,561.1687256,4,bread,0.1025
1618,mid,mumbai,arabian,0,0.469943774,12,839.6616799,36,side,0.1837
3345,mid,bengaluru,continental,1,0.335403978,3,493.5229091,2,bread,0.2024
1240,mid,mumbai,desserts,0,0.509077969,4,265.8220945,39,dip,0.1562
1278,mid,hyderabad,desserts,0,0.367359527,4,286.3832724,35,side,0.1763
3848,budget,delhi,desserts,1,0.423274789,4,381.5221586,4,bread,0.083
426,premium,hyderabad,chinese,0,0.431521454,5,437.2587428,6,starter,0.2232
3320,budget,pune,biryani,1,0.689114217,4,955.4499698,8,side,0.0539
2267,budget,delhi,north_indian,1,0.544269947,4,576.5693498,3,dip,0.0925
2873,mid,delhi,continental,1,0.504186347,7,544.6696329,4,dip,0.1621
607,budget,pune,desserts,0,0.514013196,8,437.7979437,6,side,0.0863
3427,premium,bengaluru,italian,1,0.05,9,260.1942363,35,dessert,0.3525
3008,mid,mumbai,arabian,1,0.489343849,6,1019.9837,7,dip,0.1195
2117,budget,bengaluru,arabian,1,0.4762802,3,244.292073,5,bread,0.1177
1577,budget,mumbai,desserts,1,0.05,7,509.4992274,34,bread,0.1136
3198,budget,delhi,continental,0,0.584868186,10,1358.012301,2,bread,0.0501
3659,premium,hyderabad,north_indian,1,0.66922858,6,1018.812924,12,dessert,0.1987
1458,mid,chennai,chinese,0,0.306921634,5,923.316304,40,dip,0.1666
908,premium,hyderabad,arabian,0,0.05,7,828.0796829,7,drink,0.3357
3582,mid,chennai,south_indian,0,0.390772048,5,1104.471715,8,bread,0.1681
507,mid,pune,arabian,1,0.51395025,7,1052.411758,38,bread,0.1864
756,mid,delhi,fast_food,1,0.712089175,5,632.0965921,2,dip,0.0829
2003,mid,mumbai,biryani,1,0.499224845,2,641.1410475,6,drink,0.157
2741,premium,mumbai,biryani,0,0.160014783,8,608.9006086,33,starter,0.3717
2318,budget,pune,italian,0,0.639213191,7,437.6868994,7,side,0.0531
1008,premium,mumbai,north_indian,1,0.400076582,5,816.1727918,5,dessert,0.1961
2262,premium,kolkata,continental,1,0.213262118,4,739.6906111,6,dessert,0.2726
1065,budget,hyderabad,arabian,0,0.727854649,5,289.9808799,29,bread,0.0702
1315,budget,mumbai,desserts,0,0.95,7,1247.675751,4,bread,0.0918
2408,mid,bengaluru,biryani,1,0.434654488,4,333.8932142,8,dip,0.1616
749,budget,bengaluru,italian,0,0.313270411,6,228.5588703,26,dip,0.1117
439,budget,mumbai,chinese,1,0.620494982,4,990.8651384,10,bread,0.0948
713,budget,mumbai,north_indian,0,0.618241203,3,888.062549,26,bread,0.0546
573,mid,pune,fast_food,1,0.343807272,6,1640.708199,30,dip,0.1217
700,mid,delhi,north_indian,1,0.194605739,5,963.8287678,4,bread,0.1719
3495,budget,hyderabad,arabian,0,0.409182603,4,888.0914108,23,dip,0.0612
2482,budget,delhi,fast_food,1,0.443344766,6,345.8556731,9,dip,0.0673
2920,premium,delhi,italian,1,0.513868218,3,485.9455557,36,dessert,0.2704
2927,mid,mumbai,italian,0,0.123020369,8,566.7169131,4,side,0.267
2929,mid,mumbai,north_indian,0,0.329041985,3,459.7414482,5,side,0.1498
2369,mid,chennai,arabian,1,0.226196095,3,1112.280315,1,bread,0.2193
1511,mid,delhi,biryani,0,0.470003139,5,1274.063623,5,dip,0.1394
2754,budget,bengaluru,biryani,1,0.568027133,9,445.3753385,32,dip,0.0815
2587,mid,bengaluru,arabian,1,0.608490159,6,386.1642579,5,side,0.1245
2770,mid,bengaluru,chinese,0,0.217189183,3,451.3178668,7,dip,0.1848
25,mid,chennai,south_indian,0,0.628206871,9,576.9308936,6,side,0.1683
1422,budget,delhi,chinese,0,0.739874902,2,662.6138188,4,dip,0.0914
59,budget,mumbai,arabian,1,0.333482982,7,1007.030882,8,side,0.132
2197,mid,hyderabad,biryani,0,0.520447535,8,368.6351688,4,bread,0.1086
1263,budget,delhi,italian,0,0.140906798,5,795.2754483,27,dip,0.0889
1374,budget,kolkata,biryani,0,0.05,1,1209.729081,35,side,0.1287
800,mid,mumbai,arabian,0,0.48044342,8,1115.522234,8,drink,0.2054
887,mid,delhi,north_indian,0,0.487235795,6,507.4263715,6,dip,0.1065
2070,budget,bengaluru,continental,1,0.362917789,5,436.8019105,38,side,0.1785
1864,premium,bengaluru,desserts,1,0.287128238,5,544.5158088,4,drink,0.2247
1239,mid,bengaluru,continental,1,0.723046236,4,199.1831614,6,dip,0.1727
2273,mid,delhi,south_indian,1,0.234836685,6,528.605829,34,dip,0.1456
3481,budget,chennai,south_indian,0,0.680538331,12,473.1513,2,side,0.0699
3231,budget,mumbai,chinese,1,0.339854081,5,594.5492617,5,dip,0.05
207,mid,chennai,italian,0,0.417384198,7,832.635157,4,drink,0.1523
32,mid,mumbai,chinese,0,0.555760186,6,1001.15608,2,dip,0.1949
1951,budget,delhi,italian,0,0.270412919,6,733.1968286,5,side,0.0919
1906,budget,mumbai,fast_food,0,0.659044963,7,1114.390404,4,dip,0.05
1426,mid,delhi,south_indian,1,0.364695459,6,273.4277497,3,dip,0.1278
1545,mid,mumbai,desserts,0,0.426675438,7,988.1628472,4,drink,0.241
946,mid,delhi,arabian,0,0.397789365,6,311.2329062,5,drink,0.1692
1765,mid,mumbai,italian,0,0.391615944,8,496.2138968,6,drink,0.2015
258,mid,chennai,north_indian,1,0.639599206,4,819.8456515,3,dip,0.1292
2923,premium,hyderabad,south_indian,1,0.172878728,4,492.4713919,3,dessert,0.3185
1728,premium,bengaluru,arabian,0,0.647362301,1,1332.239615,6,dessert,0.2237
3799,premium,chennai,fast_food,1,0.684508541,7,631.9291415,3,drink,0.2739
69,mid,bengaluru,biryani,0,0.538265086,5,314.0385805,3,side,0.2155
2989,budget,pune,north_indian,0,0.374267914,11,282.1875847,2,side,0.1482
1733,premium,pune,italian,0,0.606779632,9,210.2806369,11,dessert,0.2687
1795,budget,mumbai,fast_food,0,0.488326408,5,143.543554,3,side,0.072
1039,mid,hyderabad,north_indian,1,0.607922115,9,257.8176119,4,bread,0.1704
2500,mid,hyderabad,south_indian,0,0.802079392,7,837.8916656,3,side,0.1437
128,mid,delhi,north_indian,0,0.322991711,3,898.7493895,3,drink,0.162
1910,mid,mumbai,north_indian,0,0.653267663,4,682.1606705,6,side,0.0912
3702,mid,bengaluru,biryani,1,0.592732734,8,762.070476,6,side,0.156
1804,mid,pune,italian,0,0.05,8,399.3354665,5,bread,0.1458
1093,mid,delhi,chinese,0,0.429743854,4,379.4756685,5,dip,0.1603
524,budget,kolkata,south_indian,0,0.234677378,9,343.1564632,6,dip,0.1586
1250,budget,chennai,fast_food,1,0.582886498,5,803.9211015,2,side,0.05
1178,mid,chennai,fast_food,1,0.523908548,7,1285.495848,4,side,0.1738
351,premium,bengaluru,arabian,1,0.381157061,8,231.5073431,1,drink,0.3201
1399,budget,chennai,chinese,0,0.277904848,6,757.5215354,2,side,0.05
2440,mid,bengaluru,italian,0,0.592571085,5,385.6229381,31,side,0.1208
3700,mid,hyderabad,italian,1,0.443949357,7,339.5295714,42,dip,0.1894
1899,mid,bengaluru,fast_food,0,0.481637849,6,1156.702811,4,dip,0.113
1859,premium,delhi,continental,0,0.18565669,8,284.7726821,6,starter,0.3221
984,budget,mumbai,continental,0,0.825186509,10,444.3723049,1,dip,0.05
962,budget,kolkata,chinese,0,0.445314986,8,167.450952,3,bread,0.0914
2804,budget,bengaluru,north_indian,0,0.219686723,5,543.8943134,3,side,0.0507
3482,premium,mumbai,biryani,0,0.781019279,5,290.1694486,26,dessert,0.2838
3389,premium,bengaluru,italian,1,0.180223977,5,412.1868712,3,drink,0.2809
3974,mid,bengaluru,biryani,0,0.639971416,7,720.2897916,6,dip,0.2232
1771,mid,bengaluru,desserts,1,0.312034039,2,534.774805,31,drink,0.1544
2309,mid,bengaluru,italian,1,0.422967614,2,946.820718,40,bread,0.1346
2202,mid,pune,continental,1,0.426557399,4,343.4052943,23,bread,0.1435
2442,budget,pune,biryani,1,0.62699004,6,366.4851271,4,side,0.0589
1462,budget,chennai,fast_food,1,0.356313404,6,209.5768616,1,dip,0.1123
208,budget,delhi,continental,0,0.618240288,10,630.2117009,3,bread,0.05
2575,premium,chennai,arabian,0,0.591544634,6,299.5325491,5,dessert,0.3218
2153,mid,mumbai,chinese,1,0.609255779,3,597.6485298,34,dip,0.1534
1880,premium,bengaluru,north_indian,1,0.466752512,4,641.8183117,3,drink,0.2414
2682,mid,hyderabad,arabian,1,0.399921905,6,619.8199663,2,bread,0.1184
1782,budget,chennai,north_indian,1,0.63002369,7,316.9967,12,side,0.0551
823,budget,bengaluru,fast_food,1,0.238084753,8,559.1509041,3,bread,0.1059
2315,budget,hyderabad,italian,0,0.451924799,8,799.074247,3,dip,0.1025
3471,budget,chennai,fast_food,0,0.179356239,6,801.517272,4,dip,0.1633
2068,premium,delhi,fast_food,0,0.418109342,4,245.7192984,8,dessert,0.2108
738,budget,mumbai,arabian,0,0.531937084,5,1187.955274,5,side,0.1118
1195,mid,bengaluru,fast_food,0,0.191155555,5,787.5748528,5,dip,0.1418
3030,budget,bengaluru,continental,0,0.095412439,4,857.069449,29,side,0.0933
827,budget,delhi,arabian,1,0.405730479,7,877.3936327,6,side,0.1612
17,budget,chennai,north_indian,1,0.34429307,5,513.0759336,8,side,0.05
1104,budget,hyderabad,chinese,0,0.69788917,6,545.444931,7,dip,0.0677
3343,mid,kolkata,chinese,1,0.547991655,5,620.3516244,3,dip,0.2053
2421,budget,chennai,fast_food,0,0.732043543,8,1349.200111,5,bread,0.05
3056,mid,delhi,italian,0,0.488816197,9,428.921696,12,side,0.1774
3013,budget,delhi,north_indian,0,0.512583527,11,794.0572495,7,bread,0.0542
2374,budget,bengaluru,chinese,0,0.857303975,3,181.4443086,4,bread,0.05
1874,budget,bengaluru,biryani,0,0.745560814,5,700.2059394,34,side,0.0666
3707,budget,mumbai,north_indian,0,0.714017136,4,279.6396918,9,dip,0.0579
1097,budget,kolkata,continental,0,0.524127916,4,710.3127817,27,dip,0.0537
1608,premium,bengaluru,biryani,0,0.472401201,7,344.4278594,4,drink,0.2408
3048,premium,bengaluru,north_indian,1,0.788291168,8,1084.41224,27,dessert,0.252
3767,budget,mumbai,biryani,0,0.303177293,6,72.07468019,4,dip,0.1456
3204,mid,hyderabad,fast_food,1,0.420357247,8,349.2155705,27,dip,0.1191
97,premium,pune,arabian,0,0.635173685,4,548.2993299,5,starter,0.3267
1863,mid,delhi,arabian,0,0.860915797,4,340.4309034,5,bread,0.0894
3594,mid,delhi,arabian,1,0.726859518,5,351.1948348,4,dip,0.1706
2617,mid,bengaluru,north_indian,1,0.742568387,6,410.076834,30,dip,0.121
2287,budget,bengaluru,north_indian,1,0.405903063,9,361.7235462,26,bread,0.0893
182,budget,hyderabad,south_indian,0,0.411862013,11,693.9157426,5,bread,0.05
2635,budget,mumbai,south_indian,1,0.810488028,6,466.8114566,6,side,0.0673
3896,budget,pune,arabian,0,0.205106611,10,341.4496095,3,bread,0.1337
2291,premium,bengaluru,continental,0,0.601489654,3,897.8366324,5,drink,0.2817
31,budget,chennai,north_indian,1,0.289186245,4,560.3914126,20,bread,0.1324
144,mid,pune,chinese,1,0.05,5,97.41009536,6,bread,0.1624
2330,mid,hyderabad,fast_food,1,0.375437957,3,659.8911269,1,bread,0.1637
3565,premium,mumbai,arabian,0,0.637394676,10,205.4910548,30,dessert,0.2117
391,budget,mumbai,fast_food,1,0.525505219,5,453.5503192,4,dip,0.1051
3952,budget,delhi,south_indian,1,0.584550802,10,541.0984254,33,bread,0.05
1495,premium,mumbai,fast_food,0,0.586368459,5,321.131418,4,drink,0.2015
377,budget,delhi,arabian,1,0.554190037,10,707.3200064,7,bread,0.05
3244,mid,bengaluru,desserts,0,0.384447207,3,587.8015976,9,side,0.2354
48,budget,chennai,biryani,1,0.55160363,2,225.7491851,4,side,0.0979
1862,budget,bengaluru,north_indian,0,0.515852699,9,466.7103878,36,bread,0.0967
28,budget,kolkata,biryani,0,0.721549521,8,1119.526016,2,side,0.0728
3420,budget,mumbai,north_indian,1,0.95,4,464.4304015,34,dip,0.0831
3614,budget,bengaluru,fast_food,0,0.441746232,7,350.8055585,4,dip,0.0798
1522,budget,hyderabad,south_indian,1,0.575483106,5,394.2256666,33,side,0.064
821,budget,hyderabad,chinese,1,0.641886562,3,1527.227543,7,bread,0.118
1404,budget,delhi,fast_food,1,0.496654649,3,678.9935136,8,dip,0.054
