restaurant_id,restaurant_name,restaurant_city,restaurant_cuisine,restaurant_type,restaurant_online_order,restaurant_price_tier,restaurant_rating,restaurant_is_chain,restaurant_delivery_time_avg,restaurant_avg_orders_per_day
100,Golden Punjab - Branch 2,hyderabad,north_indian,Quick Bites,Yes,2,3.293717429,0,41.6,66
327,Udupi Palace - Branch 3,hyderabad,south_indian,Delivery,Yes,2,4.043412413,1,42.7,99
122,Faasos Wraps,kolkata,fast_food,Quick Bites,No,1,3.78358934,1,33.1,124
403,Royal Mughal Kitchen - Branch 5,mumbai,north_indian,Fine Dining,No,2,3.65566947,1,37.4,92
383,Spice Route - Branch 5,chennai,north_indian,Fine Dining,No,1,3.748512147,0,51,122
199,Il Forno,chennai,italian,Fine Dining,No,3,3.710666187,0,75,40
224,The Pizza Bakery,bengaluru,italian,Delivery,Yes,2,3.942078281,1,57.4,115
293,Golden Punjab - Branch 4,hyderabad,north_indian,Fine Dining,Yes,1,4.421463351,0,66,105
494,Wings Over India - Branch 3,mumbai,fast_food,Quick Bites,Yes,3,3.392765224,1,54,49
381,The Bigg Small Cafe - Branch 5,bengaluru,north_indian,Fine Dining,Yes,2,3.849840024,0,34.6,89
390,MTR Restaurant - Branch 4,delhi,south_indian,Casual Dining,Yes,3,3.834977615,0,59.6,56
469,Biryani By Kilo - Branch 3,mumbai,biryani,Casual Dining,Yes,1,3.491949792,0,38.2,104
153,Sorrentina,bengaluru,italian,Cafe,No,2,3.423491546,0,44.8,89
276,Bombay Burger Co - Branch 2,bengaluru,fast_food,Quick Bites,Yes,2,3.540211366,0,52.5,83
320,Kwality Walls Swirl,bengaluru,desserts,Cafe,Yes,3,4.102012543,0,47.3,49
22,The Sugar Lab,mumbai,desserts,Cafe,Yes,3,3.46131157,1,56.2,72
433,Barista - Branch 2,bengaluru,desserts,Quick Bites,Yes,1,4.348721511,0,47.8,105
230,Delhi-6 Kitchen - Branch 3,bengaluru,north_indian,Fine Dining,Yes,2,4.087349771,1,32.5,105
126,Andhra Spice,bengaluru,south_indian,Food Court,Yes,1,3.595385886,1,48.2,152
654,Cakes & More - Branch 3,hyderabad,desserts,Dessert Parlour,Yes,1,4.174964356,1,40.5,153
133,Delhi-6 Kitchen - Branch 2,chennai,north_indian,Quick Bites,No,3,4.022326394,0,38.9,34
107,Chettinad Cuisine,mumbai,south_indian,Delivery,Yes,1,3.97929176,0,41.4,104
106,Great Wall Restaurant,delhi,chinese,Casual Dining,No,2,4.704886475,0,51.5,67
204,Momo Station - Branch 2,mumbai,chinese,Casual Dining,Yes,2,4.028310411,0,75,87
500,Noodle Street - Branch 4,pune,chinese,Delivery,Yes,1,4.379958271,0,61.2,96
399,Pasta Street - Branch 2,bengaluru,italian,Delivery,Yes,2,3.805021674,1,34.4,118
262,The Table,delhi,continental,Cafe,No,2,3.185672438,0,51.7,95
332,Faasos Wraps - Branch 2,pune,fast_food,Food Court,Yes,1,3.714514517,1,47.1,130
465,Shanghai Garden - Branch 4,mumbai,chinese,Casual Dining,Yes,1,4.145622408,1,74.3,127
588,Paradise Biryani - Branch 4,bengaluru,biryani,Delivery,Yes,2,4.23439153,1,59.4,113
455,Pesto Kitchen - Branch 3,mumbai,italian,Casual Dining,Yes,2,3.806509976,0,38.7,87
416,Dum Pukht - Branch 5,mumbai,north_indian,Fine Dining,Yes,2,3.729602018,1,54.4,113
105,Vasantha Bhavan,hyderabad,south_indian,Casual Dining,No,1,4.141379116,1,75,160
531,Fatto a Mano - Branch 3,pune,italian,Fine Dining,Yes,1,3.830274995,0,59.9,103
685,Golden Punjab - Branch 8,hyderabad,north_indian,Casual Dining,No,1,4.02118785,0,44.9,97
146,China Bistro - Branch 2,bengaluru,chinese,Casual Dining,No,1,3.991298257,1,44,153
525,Cafe Bahar - Branch 4,chennai,biryani,Casual Dining,Yes,3,3.515681282,0,55.8,45
565,Bombay Burger Co - Branch 3,bengaluru,fast_food,Quick Bites,Yes,2,4.452449183,0,30.9,65
510,Wok to Walk - Branch 4,delhi,chinese,Quick Bites,No,3,4.173899854,0,50.5,64
421,Jade Palace - Branch 3,mumbai,chinese,Casual Dining,Yes,2,3.753203368,0,32.8,67
672,Udupi Palace - Branch 6,mumbai,south_indian,Quick Bites,No,1,4.141687349,0,49.1,104
526,Orient Kitchen - Branch 4,delhi,chinese,Quick Bites,Yes,1,3.587213703,0,75,101
188,Hotel Janatha Deluxe - Branch 2,pune,south_indian,Food Court,Yes,1,3.698989183,0,38.2,106
143,Trattoria,hyderabad,italian,Delivery,Yes,3,3.121037396,0,62.9,59
438,Udupi Palace - Branch 4,chennai,south_indian,Delivery,No,2,3.961970269,0,73.7,62
149,Dum Pukht Biryani,hyderabad,biryani,Delivery,Yes,1,4.066422347,1,49.9,137
235,Wings Over India - Branch 2,bengaluru,fast_food,Delivery,Yes,1,4.356399904,0,54.8,125
214,The Belgian Waffle Co.,chennai,desserts,Quick Bites,Yes,2,4.314779126,0,37.2,90
73,Lucknowi Biryani Co.,chennai,biryani,Casual Dining,Yes,1,3.911458184,1,31.8,151
249,The Great Kabab Factory - Branch 3,delhi,north_indian,Delivery,Yes,1,4.227535855,1,54.6,128
310,Tandoor Magic - Branch 4,hyderabad,north_indian,Fine Dining,Yes,1,3.977250484,1,37.4,146
407,Fu Lin Kitchen - Branch 3,mumbai,chinese,Food Court,No,3,4.283513776,0,55.8,50
257,Zaika Arabian Kitchen,mumbai,arabian,Delivery,Yes,1,3.447901649,0,53.3,108
366,Eat South - Branch 4,delhi,south_indian,Delivery,No,2,4.104176695,1,66.8,101
653,Brahmin's Coffee Bar - Branch 6,bengaluru,south_indian,Quick Bites,No,3,3.884235532,0,40,42
521,MTR Restaurant - Branch 5,delhi,south_indian,Delivery,Yes,2,3.66612737,0,61.9,62
528,Heritage Kitchen - Branch 6,bengaluru,north_indian,Casual Dining,Yes,2,3.86160088,0,53,77
345,La Piazza - Branch 2,hyderabad,italian,Cafe,Yes,2,4.021964464,1,54.5,104
29,The Biryani Kitchen,mumbai,biryani,Quick Bites,Yes,2,3.82771105,0,39.8,83
203,Spice Route - Branch 3,chennai,north_indian,Delivery,Yes,1,3.281634898,1,43,150
679,Farmhouse Kitchen - Branch 2,hyderabad,continental,Casual Dining,Yes,1,4.070854592,1,47.6,153
266,Bukhara Dhaba - Branch 3,delhi,north_indian,Fine Dining,Yes,1,3.729413783,0,43.2,100
80,The Grub Shack,pune,continental,Cafe,Yes,1,4.469938108,1,66.5,145
694,Cafe Bahar - Branch 5,delhi,biryani,Casual Dining,Yes,1,4.660317855,0,37.4,106
480,Sham-e-Awadh,delhi,arabian,Casual Dining,Yes,1,3.798116853,0,61.2,99
48,Cakes & More,mumbai,desserts,Cafe,No,3,3.478169474,0,47.5,48
658,Chettinad Cuisine - Branch 6,mumbai,south_indian,Food Court,Yes,1,3.599170032,0,56.3,122
501,Hotel Janatha Deluxe - Branch 5,chennai,south_indian,Food Court,Yes,2,3.919993804,0,56.9,71
441,Trattoria - Branch 3,bengaluru,italian,Fine Dining,Yes,3,3.390900697,0,41.1,48
570,Dhaba by Claridges - Branch 7,hyderabad,north_indian,Casual Dining,Yes,2,3.68151252,0,37.2,103
344,The Biryani Kitchen - Branch 3,bengaluru,biryani,Delivery,Yes,1,4.715235192,0,41.3,113
182,Noodle Street - Branch 2,pune,chinese,Food Court,Yes,2,4.183368935,1,75,124
423,The Biryani Project - Branch 3,delhi,biryani,Casual Dining,Yes,2,4.544624349,0,35.2,69
369,Cafe Bahar - Branch 3,mumbai,biryani,Delivery,No,2,3.86748317,0,40.9,69
278,China Gate - Branch 3,delhi,chinese,Delivery,Yes,2,4.960673806,0,52.7,71
274,Istanbul Grill,hyderabad,arabian,Casual Dining,Yes,2,4.439738995,0,32.2,73
435,Rebel Foods - Branch 3,chennai,fast_food,Food Court,Yes,1,4.49174892,1,46.6,143
593,Shanghai Garden - Branch 5,mumbai,chinese,Delivery,No,2,3.862256704,0,33.6,73
359,The Italian Job - Branch 2,bengaluru,italian,Casual Dining,Yes,2,3.627768444,0,56.7,48
629,Biryani Factory - Branch 4,mumbai,biryani,Delivery,Yes,2,3.759441638,0,48.4,65
79,Moti Mahal,pune,north_indian,Casual Dining,No,1,4.588245631,0,51.5,109
446,Sorrentina - Branch 3,bengaluru,italian,Casual Dining,Yes,2,3.71390786,0,75,59
595,Hotel Vijayalakshmi - Branch 5,mumbai,south_indian,Food Court,No,1,4.408881396,0,32.3,123
186,Pesto Kitchen,chennai,italian,Cafe,Yes,2,3.782372307,1,49,93
280,Bombay Sweet Shop,hyderabad,desserts,Cafe,No,2,3.60868123,1,48.8,98
213,Vasantha Bhavan - Branch 2,delhi,south_indian,Delivery,Yes,1,4.13115018,0,61.1,117
81,Amritsar Express,hyderabad,north_indian,Quick Bites,Yes,1,4.218477207,1,75,133
580,Napoli Ristorante - Branch 4,mumbai,italian,Cafe,Yes,2,3.449525989,0,49.5,64
398,Vasantha Bhavan - Branch 4,hyderabad,south_indian,Delivery,Yes,1,4.000122297,0,52,104
268,Hotel Darshini - Branch 2,delhi,south_indian,Food Court,Yes,3,3.972071185,1,46.4,67
287,Vidyarthi Bhavan - Branch 3,delhi,south_indian,Casual Dining,Yes,2,3.794525331,0,75,78
486,Murugan Idli Shop - Branch 5,hyderabad,south_indian,Food Court,No,1,4.343567537,0,73.6,124
639,The Great Kabab Factory - Branch 7,bengaluru,north_indian,Quick Bites,Yes,1,3.990592517,1,61.4,130
220,Paradise Biryani - Branch 2,delhi,biryani,Delivery,Yes,2,3.476134929,1,40.3,98
362,Express Kitchen - Branch 2,delhi,fast_food,Delivery,Yes,2,3.841465751,0,33.3,72
211,The Italian Job,bengaluru,italian,Casual Dining,Yes,1,3.385343834,0,71.1,120
473,Eat South - Branch 5,hyderabad,south_indian,Food Court,Yes,1,4.180925959,0,45.4,90
112,Kerala Kitchen,bengaluru,south_indian,Delivery,Yes,3,3.696670887,1,34.7,82
193,Rebel Foods - Branch 2,bengaluru,fast_food,Delivery,Yes,1,4.883135924,0,54.6,89
690,Golden Dragon - Branch 5,bengaluru,chinese,Food Court,Yes,1,4.34428666,0,45.1,111
275,Red Dragon - Branch 2,hyderabad,chinese,Quick Bites,No,2,3.678044588,0,48.7,88
207,The Biryani Project - Branch 2,bengaluru,biryani,Casual Dining,No,1,4.255269119,0,63.8,128
689,Giulia's Kitchen - Branch 5,pune,italian,Fine Dining,Yes,1,4.024091908,0,75,121
14,The Greenhouse,bengaluru,continental,Casual Dining,No,1,3.486539361,0,38,114
539,Mezze by Harmattan,hyderabad,arabian,Delivery,No,1,4.360974285,0,57.5,113
698,Roma Express - Branch 5,pune,italian,Cafe,Yes,3,4.068113585,0,30.6,22
38,Murugan Idli Shop,hyderabad,south_indian,Food Court,Yes,1,4.457799046,0,53.7,85
223,Tandoor Magic - Branch 3,bengaluru,north_indian,Quick Bites,Yes,2,3.58235197,0,75,89
109,Wok Express - Branch 2,delhi,chinese,Delivery,Yes,3,4.101680817,1,55.8,81
295,The Tamilian Kitchen - Branch 3,mumbai,south_indian,Quick Bites,Yes,1,4.676209707,0,36.4,118
380,Mithai by Kanchan - Branch 2,mumbai,desserts,Cafe,No,2,4.442519703,1,54,112
552,The Bigg Small Cafe - Branch 7,delhi,north_indian,Fine Dining,No,1,4.106349701,1,32.5,115
91,Canton Canteen,chennai,chinese,Food Court,Yes,1,4.069583624,0,33,134
474,Biryani Factory - Branch 3,delhi,biryani,Delivery,Yes,2,4.153538115,1,29.6,109
66,The Smashed Burger,bengaluru,fast_food,Quick Bites,Yes,3,4.522244493,0,44.8,41
546,Al-Yousuf Biryani - Branch 4,bengaluru,biryani,Quick Bites,No,2,3.551407094,0,75,80
477,China Bistro - Branch 4,bengaluru,chinese,Quick Bites,Yes,2,3.753341048,0,75,54
457,Amritsar Express - Branch 5,mumbai,north_indian,Fine Dining,No,1,3.636738422,1,31.6,133
42,Delhi-6 Kitchen,chennai,north_indian,Quick Bites,No,2,3.970753093,0,53,78
71,Fu Lin Kitchen,chennai,chinese,Food Court,No,3,3.686114949,0,41.5,57
413,Giulia's Kitchen - Branch 3,delhi,italian,Fine Dining,Yes,1,3.56732921,1,75,139
319,Delhi-6 Kitchen - Branch 4,delhi,north_indian,Casual Dining,No,1,3.424820364,0,42.8,127
39,Nizam's Biryani,delhi,biryani,Casual Dining,Yes,2,3.710070465,0,29.8,68
316,NIC Ice Creams,hyderabad,desserts,Cafe,Yes,1,3.890459598,0,28,89
265,Biryani By Kilo - Branch 2,pune,biryani,Quick Bites,No,1,4.335715346,0,45.9,79
300,Ping's Cafe - Branch 3,delhi,chinese,Quick Bites,Yes,2,3.652358143,1,71,106
124,Shanghai Garden - Branch 2,delhi,chinese,Quick Bites,Yes,2,4.429514353,0,75,79
312,The Dragon Wok - Branch 3,hyderabad,chinese,Casual Dining,No,2,4.295913043,1,60.7,122
648,Bukhara Dhaba - Branch 7,mumbai,north_indian,Delivery,No,2,3.979106005,0,33.4,79
406,Cakes & More - Branch 2,bengaluru,desserts,Cafe,Yes,1,3.812622771,0,38.4,110
558,The Biryani Project - Branch 4,hyderabad,biryani,Casual Dining,Yes,3,3.063180895,1,62.7,71
162,Fast Fork,chennai,fast_food,Food Court,No,1,3.634375047,0,58.2,101
529,The Great Kabab Factory - Branch 6,pune,north_indian,Quick Bites,No,1,3.690468367,0,53.9,117
120,Golkonda Biryani,delhi,biryani,Delivery,Yes,1,3.902349192,0,75,110
394,Dhaba by Claridges - Branch 5,bengaluru,north_indian,Quick Bites,Yes,1,4.240885817,1,62.9,142
504,Smoke House Deli - Branch 2,bengaluru,continental,Cafe,No,2,4.800738511,0,61.4,52
333,Dough & Cream - Branch 2,mumbai,italian,Cafe,Yes,1,3.76298052,1,57.9,149
544,The Greasy Spoon - Branch 3,hyderabad,fast_food,Quick Bites,No,3,3.432112579,0,42.3,57
581,Kwality Walls Swirl - Branch 2,delhi,desserts,Bakery,No,2,4.70868712,1,58.1,102
566,Barbeque Nation - Branch 7,hyderabad,north_indian,Delivery,No,1,4.219279457,0,69.9,110
1,The Bigg Small Cafe,pune,north_indian,Quick Bites,Yes,2,4.143252692,0,51.5,76
277,Wok Express - Branch 3,delhi,chinese,Delivery,Yes,2,3.557423709,0,39.1,67
294,Barbeque Nation - Branch 4,delhi,north_indian,Casual Dining,Yes,1,3.490092411,0,68.4,127
410,Andhra Spice - Branch 4,pune,south_indian,Quick Bites,Yes,2,4.172152466,1,51.5,104
273,Pind Balluchi - Branch 3,mumbai,north_indian,Fine Dining,Yes,2,3.974279656,0,36.2,69
364,Sugar & Spice - Branch 2,bengaluru,desserts,Quick Bites,Yes,1,4.493384786,1,53.7,131
508,Pizza Hut Express - Branch 3,mumbai,italian,Cafe,Yes,2,4.610114512,0,39.1,66
63,Street Food Junction,chennai,fast_food,Quick Bites,No,3,4.521840479,0,53,30
434,Amici Cafe - Branch 3,hyderabad,italian,Delivery,Yes,3,4.89569465,0,37.6,48
659,Dum Pukht Biryani - Branch 4,chennai,biryani,Delivery,Yes,2,4.063991665,1,62.6,113
402,Tandoor Magic - Branch 5,pune,north_indian,Casual Dining,Yes,1,4.233708029,0,75,94
666,Arsalan Restaurant - Branch 4,delhi,biryani,Quick Bites,Yes,1,4.471295955,1,36,155
619,Fork & Knife - Branch 2,mumbai,continental,Fine Dining,No,1,3.800892399,0,63.7,100
511,Behrouz Biryani - Branch 4,mumbai,biryani,Quick Bites,Yes,2,3.981761681,0,42.4,82
264,Gino's Pizza - Branch 2,pune,italian,Casual Dining,Yes,3,4.147764524,1,62.7,69
338,Bukhara Dhaba - Branch 4,mumbai,north_indian,Quick Bites,No,1,3.809546879,1,59,134
83,Burger Singh,kolkata,fast_food,Quick Bites,Yes,2,4.469874778,0,41,75
584,Faasos Wraps - Branch 3,mumbai,fast_food,Quick Bites,Yes,2,2.977823062,0,52.6,59
641,Fu Lin Kitchen - Branch 5,bengaluru,chinese,Quick Bites,Yes,1,3.937044844,1,34.6,125
379,Nizam's Biryani - Branch 3,mumbai,biryani,Casual Dining,Yes,2,3.428424195,1,75,99
696,Corner House - Branch 2,pune,continental,Cafe,Yes,1,3.646441253,1,57.3,143
522,Delhi-6 Kitchen - Branch 6,hyderabad,north_indian,Quick Bites,No,2,3.540139074,0,67.7,73
418,Golden Dragon - Branch 3,delhi,chinese,Delivery,Yes,2,3.902741661,1,48.1,91
222,Frontier - Branch 3,mumbai,north_indian,Quick Bites,Yes,3,3.442482996,1,48.2,75
28,Roma Express,mumbai,italian,Casual Dining,No,2,3.60910054,1,62.5,98
422,Gino's Pizza - Branch 3,delhi,italian,Delivery,No,2,3.590959933,1,47.6,103
472,Saravana Bhavan - Branch 4,bengaluru,south_indian,Casual Dining,Yes,2,4.69962705,0,55.4,62
247,Farmhouse Kitchen,bengaluru,continental,Cafe,Yes,2,4.016931082,1,50.4,104
583,Wok Express - Branch 5,bengaluru,chinese,Quick Bites,Yes,1,3.89502917,1,62,145
111,Social Offline,chennai,continental,Cafe,No,2,3.863932652,1,42.8,124
44,Chopsticks House,delhi,chinese,Delivery,Yes,1,3.819634949,1,43,106
452,Just Desserts - Branch 2,delhi,desserts,Bakery,No,2,3.809127286,0,41.7,86
456,Moti Mahal - Branch 5,kolkata,north_indian,Casual Dining,Yes,2,4.265928546,1,49.6,125
231,Hard Rock Cafe,mumbai,continental,Casual Dining,Yes,1,3.965242008,0,35.2,116
254,Jade Palace - Branch 2,delhi,chinese,Casual Dining,No,3,4.101168043,1,60.5,63
159,Saravana Bhavan,bengaluru,south_indian,Delivery,Yes,1,3.690788339,0,45.5,139
642,Mithai by Kanchan - Branch 3,delhi,desserts,Bakery,Yes,1,4.16271914,1,50.5,146
573,Bombay Sweet Shop - Branch 2,chennai,desserts,Dessert Parlour,Yes,2,4.149561657,0,68.8,64
414,Orient Kitchen - Branch 3,chennai,chinese,Food Court,Yes,1,3.994410733,1,45.5,129
626,The Beer Cafe - Branch 2,mumbai,continental,Casual Dining,Yes,2,4.033740555,1,30.4,110
17,Barbeque Nation,delhi,north_indian,Delivery,No,3,4.440540657,0,25.7,35
562,Spice Route - Branch 7,mumbai,north_indian,Casual Dining,No,2,3.906935419,1,39,110
391,Quick Bites Hub - Branch 2,mumbai,fast_food,Delivery,No,2,4.146504101,1,41.5,112
470,Hangar Bar & Kitchen - Branch 3,delhi,fast_food,Delivery,Yes,1,4.325901218,1,66.3,161
368,The Tamilian Kitchen - Branch 4,mumbai,south_indian,Delivery,Yes,2,3.916226561,0,73.1,71
677,The Bigg Small Cafe - Branch 8,chennai,north_indian,Casual Dining,Yes,2,4.282680407,0,75,81
415,Theobroma - Branch 2,hyderabad,desserts,Quick Bites,Yes,2,4.487244259,0,39.2,76
636,Pesto Kitchen - Branch 4,bengaluru,italian,Fine Dining,Yes,2,3.35778968,0,41.9,75
341,Pesto Kitchen - Branch 2,bengaluru,italian,Casual Dining,No,2,3.9313342,1,47.6,97
354,The Greenhouse - Branch 2,pune,continental,Cafe,No,3,3.565821584,0,48.1,45
269,Saffron House - Branch 3,pune,north_indian,Quick Bites,Yes,2,3.466028299,0,63.9,71
190,Grub Shack - Branch 2,mumbai,fast_food,Food Court,Yes,2,3.985870743,0,69.6,74
31,Eat South,hyderabad,south_indian,Quick Bites,Yes,2,3.908457367,0,33.6,68
367,Vidyarthi Bhavan - Branch 4,hyderabad,south_indian,Casual Dining,No,2,4.725771866,0,44.2,55
384,Golden Punjab - Branch 5,mumbai,north_indian,Fine Dining,Yes,2,4.19000756,0,45.2,75
92,Jade Palace,hyderabad,chinese,Food Court,Yes,1,3.86644071,0,43.2,125
519,Bawarchi Restaurant - Branch 4,bengaluru,biryani,Quick Bites,Yes,2,4.22303048,0,59.4,81
673,Shree Sagar - Branch 6,kolkata,south_indian,Quick Bites,Yes,3,4.046040358,0,39.9,36
74,Freshmenu,chennai,fast_food,Quick Bites,No,1,3.390999537,0,48.2,96
520,Royal Mughal Kitchen - Branch 6,chennai,north_indian,Casual Dining,Yes,2,3.603668691,1,30.1,116
101,Barbeque Nation - Branch 2,chennai,north_indian,Delivery,Yes,3,4.519376517,1,69.7,70
607,Delhi-6 Kitchen - Branch 7,bengaluru,north_indian,Delivery,No,1,3.749357123,0,36.5,115
329,Olive Bar & Kitchen - Branch 2,delhi,continental,Fine Dining,Yes,2,3.225606724,0,61.4,69
298,Eat.fit Kitchen - Branch 2,mumbai,fast_food,Quick Bites,Yes,1,3.238159798,1,34.7,130
603,Saravana Bhavan - Branch 5,bengaluru,south_indian,Delivery,Yes,2,4.485680239,0,75,70
431,Heritage Kitchen - Branch 5,mumbai,north_indian,Casual Dining,Yes,2,4.228671217,0,37.6,71
412,Delhi-6 Kitchen - Branch 5,bengaluru,north_indian,Fine Dining,Yes,2,3.941982262,1,68.7,109
560,Shree Sagar - Branch 5,bengaluru,south_indian,Quick Bites,Yes,3,3.517762574,0,30.8,54
5,Golden Punjab,bengaluru,north_indian,Casual Dining,Yes,2,4.961761303,1,42.9,88
665,Theobroma - Branch 3,bengaluru,desserts,Bakery,Yes,2,4.35462987,1,48.6,94
356,Moti Mahal - Branch 4,pune,north_indian,Delivery,Yes,2,3.896379694,1,36,96
177,Quick Bites Hub,pune,fast_food,Quick Bites,Yes,2,3.823398316,0,37,62
303,China Bistro - Branch 3,chennai,chinese,Food Court,Yes,1,4.401936999,1,56.5,127
598,Fast Fork - Branch 3,chennai,fast_food,Quick Bites,Yes,2,4.550051054,1,63,103
582,Frontier - Branch 7,hyderabad,north_indian,Delivery,Yes,2,3.938968566,0,32.9,69
466,Biryani Blues - Branch 3,chennai,biryani,Quick Bites,Yes,1,4.619785967,1,32.8,152
157,Hotel Vijayalakshmi,delhi,south_indian,Quick Bites,No,2,4.877827868,1,41,100
121,Frontier - Branch 2,bengaluru,north_indian,Casual Dining,Yes,1,4.198959602,1,73.6,149
656,Hangar Bar & Kitchen - Branch 4,hyderabad,fast_food,Delivery,Yes,2,4.582267143,1,35.1,107
323,Chettinad Cuisine - Branch 3,delhi,south_indian,Delivery,No,1,4.11087101,1,32.6,115
217,Barbeque Nation - Branch 3,bengaluru,north_indian,Casual Dining,No,1,4.07331494,0,40.5,118
377,Gulf Delights,hyderabad,arabian,Casual Dining,Yes,2,4.16866245,0,75,96
385,Barbeque Nation - Branch 5,kolkata,north_indian,Casual Dining,No,2,4.354082873,0,40.4,60
32,Tandoor Magic,bengaluru,north_indian,Fine Dining,Yes,2,3.808288335,0,54.9,93
165,Saffron House - Branch 2,chennai,north_indian,Casual Dining,Yes,1,4.00779667,0,42.8,109
602,Amici Cafe - Branch 4,delhi,italian,Casual Dining,Yes,1,4.306569971,1,36.7,157
365,The Pizza Bakery - Branch 2,delhi,italian,Fine Dining,Yes,3,4.191310624,1,40.7,78
47,Noodle Street,bengaluru,chinese,Quick Bites,No,1,4.443032373,0,52.2,111
304,Farzi Cafe,bengaluru,continental,Fine Dining,No,2,3.577886143,0,31.3,74
541,Amritsar Express - Branch 6,mumbai,north_indian,Delivery,Yes,3,3.941986826,1,31,91
370,Pizza Hut Express - Branch 2,kolkata,italian,Delivery,Yes,2,3.957053121,0,46.3,67
290,Shanghai Garden - Branch 3,bengaluru,chinese,Delivery,Yes,1,4.22251309,0,37.5,112
592,Vapiano - Branch 4,pune,italian,Delivery,No,2,2.705582254,0,60.2,76
680,Dosa Plaza - Branch 6,hyderabad,south_indian,Casual Dining,No,1,4.038240383,1,75,132
228,Royal Mughal Kitchen - Branch 3,pune,north_indian,Casual Dining,Yes,1,4.287164133,0,61.9,121
305,Amici Cafe - Branch 2,bengaluru,italian,Fine Dining,Yes,1,4.189108711,0,54.4,104
285,Arabian Bites,chennai,arabian,Casual Dining,No,1,3.44190494,1,35.1,118
318,Vasantha Bhavan - Branch 3,hyderabad,south_indian,Food Court,Yes,1,3.858543888,1,61.3,136
